gene_id,185_026_T0,185_128_T0,185_037_T0,185_057_T0,185_071_T0,185_107_T0,185_184_T0,185_194_T0,PIM046_A1,PIM046_A2,PIM046_A3,PIM056_A1,PIM056_A2,PIM056_A3,185_002_T0,185_002_X0_P3,185_006_T0,185_006_X0_P3,185_014_T0,185_014_X0_P3,185_026_X0_P3,185_071_X0_P3,185_128_X0_P3,185_129_X0_P3,185_198_X0_P3,185_037_X0_P3,185_049_X0_P3,185_107_X0_P3,185_184_X0_P3,185_194_X0_P3
ABCC3,10.44,16.48,10.02,4.4,8.81,3.34,6.74,5.54,0.16,0.2,0.38,24.46,33.78,25.2,4.74,2.53,6.1,0,23.62,1.1,2.8,17.03,0.21,7.39,38.19,11.19,1.21,1.88,1.35,5.04
ABCC4,19.9,36.5,79.69,20.61,10.84,10.16,8.04,27.29,3.33,5.23,6.13,5.55,6.02,5.79,12.23,10.96,22.29,7.77,9.19,3.74,25.63,0.17,10.93,3.69,25.41,27.11,14.6,2.68,1.44,27.61
ABCC5,21.37,22.75,9.37,11.37,19.59,24.68,37.75,30.92,14.86,22.83,18.99,11,8.75,11.25,36.65,40.19,33.97,10.26,38.18,33.25,12.21,4.98,17.44,72.41,12.61,3.38,25.19,39.14,32.91,38.94
ABCC6,0.63,2.14,12.4,4.78,9.35,2.27,1.28,4.99,1.74,1.77,1.99,0,0,0,1.77,1.5,2.67,0.15,1.9,3.95,0.71,28.62,0.34,11.02,0,9.33,4.69,3.75,0.66,8.1
ABCC8,0.41,0.36,0.14,0.59,0.14,0.34,0.32,0.14,0,0,0.01,0,0,0,0.09,0.19,0,0,1.74,4.17,0,0.02,0.02,78.23,0.02,0.08,0.33,0.44,0.34,0.21
ABCC9,15.83,16.85,17.23,29.78,34.41,8.24,14.99,6.28,0.26,0.67,0.51,0,0,0,9.63,0.24,5.69,0.01,18.65,0.48,0.47,0,0,0,0.04,0.11,1.38,6.14,0.34,1.07
ABCD1,11.67,9.68,2.93,0.78,2.25,1.47,1.05,1.31,25.08,29.32,27.71,14.75,14.95,14.75,31.42,38.15,27.61,11.21,38.34,33.25,21.46,5.17,0.45,1.27,0.24,1.52,0.69,1.19,3.99,2.4
ABCD2,4.63,2.48,2.14,3.26,3.66,1.75,1.46,0.7,0.07,0.05,0.12,0.02,0,0,0.23,0.03,0.55,0.02,0.7,0.02,0,0,1.59,0.17,0,0.55,0.94,1.06,0.49,0.63
ABCD3,61.79,98.21,54.57,75.14,71.78,83.1,29.41,30.05,48.67,81.41,80.48,37.72,42.48,39.88,27.44,29.85,85.1,98.01,36.9,52.89,17.72,62.53,86.6,153.53,117.95,27.99,24.22,57.27,30.05,38.8
ABCD4,15.47,12.47,4.81,7.94,9.07,2.5,3.65,6.15,8.78,7.73,7.88,13.23,11.36,11.99,13.93,16.8,10.19,5.74,16.74,18.13,8.37,4.71,2.74,13.83,12.29,7.1,1.64,6.98,2.38,7.13
ABCE1,116.58,132.86,144.55,108.42,150.81,308.89,178.09,160.12,28.89,48.38,51.11,46.1,53.94,54.26,40.21,33.17,47.32,47.53,50.17,75.21,51.01,103.55,97.02,88.96,319.15,115.31,116.1,143.58,93.22,105.25
ABCF1,53.29,71.26,38.35,37.11,35.19,24.3,39.09,46.21,19.39,27.4,25.88,91.28,76.63,88.06,69.07,77.47,83.4,79.69,79.82,100.84,74.8,40.36,34.35,76.6,57.29,39.81,24.02,23.83,24.41,58.69
ABCF2,56.34,85.28,15.9,28.91,17.01,49.77,29.28,59.56,35.46,53.62,57.31,60.48,61.47,68.19,73.25,59.96,84.36,65.27,47.28,79.85,59.28,45.4,16.44,45.11,62.01,20.75,9.06,62.46,34.81,60.93
ABCF3,81.13,56.23,30.9,20.87,32.83,23.29,35.95,63.54,43.24,66.11,63.17,42.77,38.16,43.26,49.43,63.83,37.95,30.91,43.77,45.78,61.65,34.17,24.14,40.29,24.79,24.29,23.76,41.03,44.95,50.93
ABCG1,43.4,10.07,7.56,3.84,13.65,5.05,5.16,5.46,0.79,1.7,1.66,0.15,0.37,0.3,19.02,4.96,14.9,0.4,16.74,11.56,19.75,15.87,0.07,2.23,0.27,1.33,1.81,3.22,1.53,0.9
ABCG2,3.42,2.24,0.96,3.04,4.17,2.25,2.63,0.62,0.09,0.12,0.13,0,0,0,1.17,0.16,0.82,1.81,2.62,0.93,0,0.05,0,0.55,0.19,0.21,0.49,3.81,0.71,0.26
ABCG4,0.15,0.05,0.5,0.04,0.07,0.55,0.47,0.16,0.28,0.05,0.2,0,0.05,0.02,0.35,0.05,0.28,0.15,0.99,0.38,0,0.08,0,0.54,0.03,0.25,0.55,1.44,0.3,1.02
ABCG5,0.07,1.72,0.26,0.15,0.02,1.19,0.52,0.48,0.01,0.09,0.03,0,0,0,0,0,0,0,0.03,0.08,0.52,0.19,2.25,1.45,1.32,0.87,1.97,2.23,1.09,1.06
ABCG8,0,1.26,0.12,0.07,0.02,2.26,0.72,0.89,0.01,0.11,0.03,0,0,0,0.04,0.14,0,0,0,0.29,0.75,0,0.11,1.26,0,0.59,1.03,1.46,1.49,0.62
ABHD1,2.06,4.44,0.58,0.07,1.8,1.56,0.59,2.13,0.38,0.36,0.38,0.06,0.09,0.22,0,0.14,0.46,0.91,1.01,1.97,0.35,3.97,0.43,1.9,0.44,1.08,0.33,1.22,1.19,1.04
ABHD10,51.15,22.38,52.57,29.52,33.38,31.71,27.7,47.08,7.42,9.84,9.57,18.08,19.4,18.1,7.81,11.38,20.75,16.99,13.68,16.15,28.52,35.04,23.18,52.96,37.66,17.71,10.32,18.14,17.17,18.67
ABHD11,88.44,28.72,77.65,7.88,56.75,38.46,61.34,45.31,50.37,55.6,57.26,54.68,53.95,55.61,34.35,27.68,101.41,176.91,22.78,66.33,70.42,252.02,26.69,48.58,42.38,66.39,11.66,39.26,82.92,68.78
ABHD12,33.26,37.1,67.67,16.96,19.4,25.83,10.82,59.87,88.91,108.9,107.74,65.45,59.38,57.86,34.16,43.62,48.9,35.08,46.96,41.58,71.15,54.98,13.07,28.92,65.06,67.83,7.42,18.84,3.56,60.39
ABHD12B,0,0.23,0.09,0.25,3.52,0,0.09,0.15,0,0,0,0,0,0,0.08,0.06,0,0,0.78,0.21,0,1.8,0.35,0,0.07,0.13,0.38,0.2,0.18,0.18
