gene_id,185_026_T0,185_128_T0,185_037_T0,185_057_T0,185_071_T0,185_107_T0,185_184_T0,185_194_T0,PIM046_A1,PIM046_A2,PIM046_A3,PIM056_A1,PIM056_A2,PIM056_A3,185_002_T0,185_002_X0_P3,185_006_T0,185_006_X0_P3,185_014_T0,185_014_X0_P3,185_026_X0_P3,185_071_X0_P3,185_128_X0_P3,185_129_X0_P3,185_198_X0_P3,185_037_X0_P3,185_049_X0_P3,185_107_X0_P3,185_184_X0_P3,185_194_X0_P3
CD151,106.93,86.49,14.45,26.57,21.67,22.55,21.4,39.37,425.79,364.65,412.45,349.47,292.49,316.83,304.12,430.02,294.44,388.81,427.06,329.96,272.69,67.57,9.11,15.46,19.64,36.6,15.01,46.33,30.04,35.36
CD160,7.78,1.86,2.73,8.81,2.94,4.52,5.64,0.64,0.04,0,0,0,0,0,0,0,0.2,0,0.22,0.07,0,1.11,1.37,6.05,0.58,1.81,6.13,6.94,5.52,3.58
CD163,112.23,67.09,45.72,88.38,89.06,113.86,428.08,49.87,0,0,0.03,0,0,0.01,25.01,0.14,55.37,0.22,49.03,0.21,0,0.39,0,0,0,0.5,6.18,6.96,3.72,5.15
CD163L1,40.03,12.16,3.6,16.39,13.33,7.13,11.53,8.76,1.38,1.51,1.57,1.86,1.51,2.5,10.75,7.55,1.44,0.14,11.03,10.27,15.25,4.71,9.91,6.47,0.26,1.46,10.18,8.99,6.88,12.19
CD164,590.79,111.64,400.78,287.22,629.49,152.94,259.2,260.21,160.41,249.59,245.55,203.5,210.89,236.07,269.78,242.93,138.73,130.89,110.61,80.37,315.84,363.8,46.63,51.11,623.2,494.07,272.28,162.72,200.33,298.87
CD164L2,10.67,5.29,0.15,0.39,0.08,1.1,0.22,1.26,0.9,0.75,0.78,4.24,4.3,4.86,0.17,0,6.04,1.57,22.01,24.07,2.98,2.46,6.38,0.76,0.29,2.74,1.45,1.68,5.16,1.31
CD177,15.81,0.58,1.02,0.77,5.77,1.43,0.31,0.46,0.02,0,0,0.08,0,0,0.27,0,0.14,0,2.21,0.25,0,0.05,0,1.95,0,0.34,0.53,1.4,0.06,0.76
CD180,44.36,18.58,19.22,29.29,11.42,16.67,21.81,13.41,0.14,0.18,0.28,0.78,0.81,0.63,4.43,2.71,9.05,2.2,16.02,2.27,3.99,0.04,2.06,0,67.4,0.88,2.02,7.99,4.4,5.26
CD19,13.35,4.74,0.9,0.63,0.14,0.32,3.21,1.27,0,0,0,0,0,0,0.18,0,0.43,0,2.68,0.12,0.31,0.16,0,0,0.11,0.27,0.42,0.29,0.59,0.13
CD1A,1.48,5.97,1.49,15.62,2.99,4.06,1.81,1.31,0,0,0,0,0,0,5.43,0,0.41,0,6.57,0,0,0,0,0,0,1.91,5.73,11.37,17.94,4.99
CD1B,5.7,2.31,1.35,3.52,3.21,4.58,1.32,4.62,0,0,0,0,0,0,0.36,0,0.32,0,1.78,0,0,0,0,0,0,1.83,4.61,11.46,9.95,3.2
CD1C,7.1,10.01,3.87,9.88,2.39,9.52,5.02,6.42,0,0,0,0,0,0,1.43,0,0.4,0,5.27,0,0,0,0,0,0,4.36,13.79,22.92,28.25,11.77
CD1D,1.9,1.67,0.55,2.72,0.77,1.13,0.4,1.19,0.02,0,0,0,0,0,0.72,0,0.75,0,2.25,0,0,0,0,0,0,0.33,0.27,0.57,0.32,0.7
CD1E,15.38,6.2,4.92,30.77,7.98,7.29,6.17,5.53,0,0,0,0,0,0,1.11,0,1.28,0,6.4,0,0,0,0,0,0,1.79,5.11,9.1,10.01,4.45
CD2,165.13,48.41,100.79,95.85,94.72,59.9,19.77,61.84,0,0,0.03,0,0,0,1.58,0,10.67,0,18.13,0,0,0,0,0,0,0.27,0.39,0.93,7.15,0.62
CD200,23.49,12.02,9.73,19.17,20.53,6.84,3.74,5.87,9.21,13.91,14.09,0,0,0,19.4,11.36,9.11,0.12,36.07,5.11,15.47,0.04,0,43.57,0,0.44,2.31,3.01,2.13,4.11
CD200R1,9.34,6.02,3.22,14.11,6.69,5.31,1.97,4.09,0.06,0.04,0.05,0.2,0.11,0.26,1.07,0.04,1.8,0.03,2.61,0.05,0,0.24,0,5.76,0.33,0.2,4.3,6.51,1.46,2.22
CD200R1L,0.16,0,0.22,0.21,0.11,0.61,0.46,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,9.75,0,1.15,2.44,4.62,2.3,2.23
CD207,2.88,20.02,3.83,10.54,4.13,10.69,1.94,1.63,1.6,4.11,3.81,1.02,1.51,0.88,11.11,0.27,1.42,0.26,9.95,0.73,0.85,0.79,19.7,0.92,19.99,12.93,2.93,21.58,3.85,1.33
CD209,11.89,16.05,4.89,16.41,16.38,10.35,25.84,6.88,0,0,0,0,0,0,2.33,0,3.28,0,9.84,0,0,0,0,0,0,0.79,2.47,3.82,2.82,1.77
CD22,38.66,23.96,3.26,1.08,2.44,3.51,12.01,7.91,0,0,0,0.08,0.04,0.08,0.37,0.07,1.69,0,5.14,0,0,0.07,0.46,0,0,0.36,1.46,2.43,0.85,2.25
CD226,19.14,8.55,5.41,3.49,8.55,7.94,1.83,5.14,0.02,0.08,0.18,0.04,0.02,0.02,0.53,0.08,1.55,0.14,2.05,0.04,0.35,0.04,0.14,1.4,0.04,0.74,0.97,2.07,0.7,0.15
CD24,229.75,750.61,243.97,112.1,325.41,107.93,230.36,338.45,2570.08,3822.73,3645.5,4142.37,4316.46,4300.05,2127.23,1646.55,6609.46,7533.14,193.82,474.26,2584.21,515.96,1948.01,45.6,290.57,394.49,172.38,191.9,197.05,715.01
CD244,2.18,0.46,1.16,0.7,0.36,0.91,1.41,0.19,0,0,0,0,0,0,0.14,0.04,0.78,1.04,0.78,0,0,0,0,0,0,0.49,1.69,2.56,1.81,1.29
CD247,17.87,4.31,1.91,5.56,3.69,4.02,0.77,2.72,0.3,0.48,0.37,0.05,0.04,0.15,0.73,0.06,3.99,0.09,6.9,0.35,66.49,0.25,0.06,0.28,0,0.73,0.72,0.17,0.78,0.73
CD248,47.63,59.05,12.59,42.08,44.76,16.6,47.81,17,0.51,0.74,0.76,0,0.02,0,50.52,14.1,15.85,0,96.72,2.12,3.1,2.72,0,0.3,0.16,3.46,2.46,6.88,1.37,0.75
CD27,120.32,25.54,15.78,16.3,8.93,8.61,10.82,17.35,0.11,0.08,0.06,0,0,0,0.58,0.56,5.2,0,10.48,0.09,0,1.74,0.95,0.62,0.66,1.1,2.03,4.75,1.94,2.05
CD274,31.69,14.36,33.44,19.62,17.43,22.58,2.89,14.49,0.05,0.06,0.1,0.11,0.15,0.15,0.61,0.17,2.02,0.04,4.51,0.29,0.64,16.74,0.12,3.29,2.81,4.57,7.21,23.13,4.58,10.8
CD276,34.81,44.48,15.56,45.6,24.91,17.79,25.85,33.33,53.99,58.78,64.22,60.73,53.9,59.89,207.43,323.21,120.9,111.12,209.64,112.14,37.93,27.01,6.32,33.33,34.93,17.55,23.22,26.59,31.53,30.95
CD28,8.99,4.39,3.51,5.5,5.21,5.23,3.01,1.69,0,0,0.01,0.04,0.05,0,2.17,0.02,3.76,0.09,4.1,0.09,0,0,0,0,0.02,0.89,2.66,3.47,1.08,1.04
CD2AP,98.7,90.89,134.79,139.16,150.02,153.09,114.2,79.93,19.43,47.31,47.29,25.8,39.05,33.36,44.89,42.39,55.76,46.57,47.8,64.65,60.59,99.48,88.64,104.28,168.21,63.1,28.6,75.94,35.67,65.69
CD2BP2,89.08,92.22,98.13,86.79,89.25,95.49,95.47,65.31,36.58,41.26,42.28,62.37,55.71,57.1,46.35,53.98,26.92,35.22,52.27,34.26,54.04,91.97,54.3,78.1,39.75,51.77,49.11,56.47,49.18,30.55
CD300A,12.91,7.3,2.84,3.44,2.52,8.1,4.01,14.23,0,0,0,0,0,0,11.11,0.38,12.58,0.08,12.01,0,0.54,0.06,0.95,0,0,0.87,0.77,0.81,0.34,0.83
CD300C,2.1,3.54,0.97,2.79,0.6,1.5,0.29,2.44,0,0,0.03,0,0,0,1.32,0.06,3.02,0,4.47,0,0,0,0,0,0,0.41,0.65,1.29,0.58,1.53
CD300E,0.21,1.29,0.4,0.47,0.07,0.92,0.33,1.08,0,0,0,0,0,0,10.16,7.51,1.74,0,2.7,0.09,0,0,0,0.04,0,0.21,0.52,0.62,1.53,0.72
CD300H,0.39,3.67,1.61,3.03,0.16,8.53,4.99,3.64,0,0,0,0,0,0,0.82,0.27,0,0,0.99,0,0,0,0,1.52,0,0.55,7.52,5.56,9.12,15.27
CD300LB,0.99,0.72,0.64,0.99,0.51,5.39,1.12,2.03,0,0,0,0,0,0,0.31,0.04,1.41,0,1.42,0,0,0,0,0,0,0.19,2.07,2.33,1.87,4.22
CD300LD,0,0,0.64,0,0.63,6.61,0.84,1.85,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.35,7.83,0.55,24.55,10.17
CD300LF,8.67,3.15,9.47,1.71,8.86,4.93,2.86,2.31,0,0,0,0,0,0,0.67,0,3.24,0,2.61,0,0,0.06,0,0,0,0.63,2.33,4.02,2.85,2.46
CD300LG,0.67,1.16,0.09,0.21,0.08,0.06,0.1,0.52,0,0,0,0,0,0,0.55,0,0.33,0,0.87,0,0,0,0,0,0,0.3,0.17,0.23,0.21,0.32
CD302,0.62,8.25,2.91,2.09,1.38,0.7,7.18,1.35,4.62,10.23,8.32,3.12,1.34,3.4,9.06,9.81,2.15,1.72,6.31,2.28,0.89,1.1,5.82,2.71,0.34,0,0.61,0,0.53,0.52
CD320,389.58,130.92,5.7,29.02,8.52,14.45,23.1,58.81,67.9,55.85,55.78,38.2,33.88,35.06,43.55,53.58,55.2,21.71,66.66,116.13,444.76,28.67,41.56,70.97,36.06,0.57,24.28,13.34,75.01,70.43
CD33,11.84,10.66,8.05,11.27,9.91,7.4,4.83,6.18,0,0,0,0,0,0,4.34,0,5.84,0,7.68,0,0,0,0,0,0,1.83,5.29,7.7,5.28,2.67
CD34,54.48,46.91,38.99,67.53,45.02,29.1,36.21,23.27,0,0,0,0.54,1.9,0.88,37.28,7.98,25.52,0.03,72.56,0.62,0,0.74,0.49,3.5,0,1.4,3.66,5.65,9.96,5.22
CD36,99.98,64.91,15.92,59.09,196.22,84.01,80.71,8.37,0.65,0.62,0.85,0,0.08,0.04,7.99,0.06,20.18,0.08,20.44,1.4,1.86,29.11,0,6.7,0,2.79,11.93,23.61,13,3.98
CD37,191.73,78.95,18.42,32.79,19.58,12.94,20.81,26.22,0,0.04,0,0,0,0,8.39,0.34,21.42,0.06,55.43,0.39,0,0,0.84,0.66,1.5,0.56,0.47,1.7,0.44,0.73
CD38,18.6,5.1,3.8,3.12,0.53,3.06,2.08,3.5,0,0,0,0,0,0,0.8,1.46,1.96,0.01,1.41,0.02,0.02,0,0.02,0.05,0.09,0.03,0.1,0.71,0.15,0.24
CD3D,140.79,47.15,46.65,60.11,48.89,41.48,11.47,40.5,0,0,0,0,0,0,1.33,0,6.78,0,17.89,0.26,0,0,0,0,0,0.27,2.31,4.08,3.56,1.65
CD3E,64.08,15.48,10.33,34.9,12.93,11.24,5.45,13.26,0,0,0,0,0,0,1.31,0.2,7.25,0,20.71,0.08,0.25,0.07,0,0,0,0.09,0.31,1.94,0.52,1.05
CD3EAP,3.74,6.04,5.53,4.68,1.72,5.58,2.48,4.94,5.21,6.88,7.67,12.12,10.85,12.15,22.9,23.32,19.82,19.55,3.82,3.16,17.51,1.16,3.93,2.5,2.82,4.89,5.07,4.36,4.16,4.96
CD3G,56.8,19.48,37.28,34.07,28.69,23.04,11.1,14.42,0,0,0,0,0,0,1.17,0,3.35,0,6.52,0,0,0,0,0,0.33,0.05,0.51,1.6,0.21,0.07
CD4,42.48,25.51,9.63,16.66,14.15,10.03,7.5,11.58,0,0.02,0,0,0,0,23.12,0.91,56.96,0.19,69.66,0.31,0.54,0.8,0.14,0.76,0.16,0.63,1.9,3.23,0.9,3.15
CD40,37.03,32.99,3.65,6.24,11.68,3.8,4.15,4.09,0,0,0.03,0,0,0,7.25,0.49,10.38,0,31.29,5.54,10.4,18.69,0.24,0.11,0,0.22,0.06,0,0.94,0.24
CD40LG,6.85,5.19,4.25,5.1,5.4,3.72,1.22,2.76,0,0,0,0,0.07,0,0.26,0.05,0.64,0,1.59,0.06,0,0.06,0,0.51,0.51,2.14,5.64,11.59,6.82,19.17
CD44,373.32,107.53,195.11,239.24,90.19,252.97,95.59,92.46,63.91,104.47,108.94,170.88,184.44,184.7,170.34,140.55,269.5,99.43,356.53,543.06,320.87,81.82,28.36,56.32,272.53,268.37,38.16,457.62,53.51,187.52
CD46,274.36,92.05,193.25,166.68,390.33,198.64,176.95,169.34,105.98,172.33,171.97,195.35,283.08,194.04,126.93,77.33,152.55,171.07,104.73,90.25,350.12,262.1,74.83,73.56,153.82,115.74,63.37,78.49,112.59,176.03
CD47,44.69,43.55,131.71,78.73,120.59,127.46,67.55,87.13,24.57,28.79,29.5,78.66,91.53,80.57,25.73,17.58,38.95,43.62,32.92,38.2,23.69,90.65,85.65,57.85,102.83,70.58,66.35,76.68,75.91,137.5
CD48,206.52,111.79,96.26,122.12,76.53,87.37,41.89,102.3,0,0,0,0,0,0,3.8,0,22.62,0,21.53,0,0,0,0,0,0.39,2,5.83,16.62,8.3,4.48
CD5,19.47,7.17,2.02,5.89,4.55,1.51,1.01,2.06,0,0,0,0,0,0,0.62,0,2.37,0,7.56,0,0.92,0.22,0,0,0.16,0.12,0.5,1.05,0.23,0.26
CD52,237.82,128.45,65.24,77.65,55.12,56.05,28.79,26.32,0,0,0,0,0,0,8.43,0,26.12,0,64.18,0,0,0,0,0,0,1.32,1.27,3.08,0.36,1.95
CD53,144.49,73.92,76.56,113.55,81.43,78.67,77.55,78.34,0,0.03,0,0,0,0.05,19.92,0.07,52.94,0,67.61,0.09,0,0.14,0,0.82,0.08,0.59,1.84,4.27,2.5,1.8
CD55,230.96,176.11,223.5,177.26,569.54,269.05,384.9,215.29,32.73,51.25,44.43,34.16,43.14,40,93.33,88.26,62.6,41.41,101.19,76.39,73.96,582.08,199.91,30.72,256.83,83.87,128.39,58.9,261.21,121.18
CD58,22.25,20.99,11.32,15.73,16.62,23.21,10.6,11.7,35.44,34.33,38.65,47.32,53.99,46.52,11.8,5.92,32.22,20.34,25.63,15.29,14.56,13.58,9.02,14.84,29.21,9.67,17.99,20.2,7.03,15.58
CD59,95.37,24.86,25.48,64.84,27.62,47.96,53.86,27.89,157.82,157.69,187.02,245.9,239.94,240.73,117.14,131.91,130.83,192.13,444.35,700.77,111.59,45.1,29.82,5.01,29.58,35.41,22.62,38.2,22.83,31.68
CD5L,0.34,0.08,0.67,0.21,0.04,2.11,0.44,1.61,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.68,3.23,5.32,5.1,3.23
CD6,21.97,4.54,3.39,5.29,5.55,2.98,3.81,0.86,0.22,0.38,0.34,0.66,1.16,0.9,2.38,1.95,8.6,4.92,8.3,1.02,4.53,0.13,0.13,0.05,2.39,0.24,0.43,0.81,1.08,0.67
CD63,764.86,586.86,1024.73,1270.98,1348.61,986.27,1757.64,711.98,1038.38,895.36,914.22,618.81,535.56,572.4,589.26,470.09,339.61,238.35,909.47,568.68,714.81,1893.32,329.21,675.53,573.75,1610.76,1676.82,766.29,1005.8,826.05
CD68,155.49,106.02,141.86,233.9,228.2,179.42,136.67,131.11,0.4,0.81,0.94,26.84,37.65,27.98,84.15,5.63,141.33,0.76,139.76,10.12,1.25,146.28,5.04,17.03,5.85,52.42,3.11,18.94,12,23.22
CD69,17.9,7.14,13.38,27.05,10.58,6.3,4.41,3.61,0,0,0,0,0.04,0.04,0.51,0,1.42,0,2.66,0,0,0.76,0,0,1.32,0.48,3.48,2.25,1.79,1.82
CD7,15.22,12.29,5.17,1.79,2.55,1.51,0.62,7.79,0,0,0,1.04,1.18,0.74,2.69,1.15,7.49,0.64,13.02,0.85,0.41,1.46,10.09,0.13,0.17,0.62,0.9,0,0.42,3.03
CD70,1.17,1.11,0.25,0.87,0.45,0.86,0.08,1.67,0.04,0.06,0.02,5.69,2.47,5.74,0.2,0,4.92,0,1.72,0.15,0,1.67,0,0,0,0.55,1.72,1.16,0.48,2.34
CD72,89.13,38.91,15.73,9.89,12.13,14.45,20.68,21.84,4.44,5.04,4.04,0.84,0.33,0.8,2.87,1.52,7.91,1.08,4.08,1.29,0.49,13.31,8.2,3.52,2.54,2.72,3.5,8.12,5.61,5.63
CD74,549.05,246.43,502.47,741.28,657.6,410.29,461.05,354.42,8.32,9.78,14.02,3.07,20.12,10.04,581.47,102.91,1624.59,26.22,2743.1,21.01,11.15,370.5,3.49,16.96,7.92,7.2,5.07,30,14.67,104.21
CD79A,184.62,38.29,8.39,8.56,4.38,4.57,10.84,18.69,0.24,0.09,0.1,0,0.06,0,0.54,0.51,5.14,0.13,23.83,0.65,0,0,0,0.65,0,0.27,1.11,1.2,1.08,0.51
CD79B,56.25,84.31,3.24,0.99,2.43,2.19,7.4,14.12,5.3,4.8,5.11,2.02,3.2,2.74,3.29,3.24,4.66,1.18,13.21,12.41,1.15,0,0.91,0,0,0.55,1.36,1.64,5.23,13.14
CD80,5.02,5.38,3.57,5.8,3.39,5.93,1.16,5.07,0.04,0.02,0.1,0,0,0,1.01,0,3.93,0,3,0,0.09,0.67,0.04,0.06,0.11,0.12,0.58,1.91,0.68,0.54
CD81,521.15,347.61,138.62,251.86,176.6,188.12,215.47,168.13,439.18,386.41,446.59,330.82,293.25,301.44,1196.6,2374.44,634.4,271.38,905.23,709.59,1008.03,162.13,34.15,89.26,68.33,51.46,84.86,193.32,153,89.6
CD82,30.27,10.06,8.2,4.59,10.44,5.42,1.4,9.54,86.34,104.47,108.12,129.45,118.92,113.16,39.38,36.48,176.6,389.3,150.81,255.98,115.22,13.88,0.31,0.69,5.59,6.05,2.35,9.18,8.34,8.02
CD83,13.06,18.91,8.29,16.71,10.04,5.7,3.88,15.43,9.61,10.63,11.58,45.81,42.99,56.76,10.87,5.26,28.31,13.13,18.78,8.57,1.5,1.57,2.94,6.55,0.49,0.67,2.21,6.59,7.1,10.4
CD84,13.33,5.25,8.25,11.2,10.85,7.66,4.95,4.58,0,0,0,0,0,0,5.43,0.05,13.63,0,14.38,0.03,0,0,0,0,0,0.29,0.71,1.64,0.99,0.55
CD86,13.67,10.95,16.56,30.07,16.3,22.04,9.43,21.16,0,0,0,0,0,0,2.96,0,13.89,0,11.73,0.05,0,0,0,0.06,0,1.57,5.49,6.87,7.75,3.19
CD8A,24.86,7.75,3.62,3.59,2.38,2.17,1.21,2.17,0.67,0.77,0.6,0.15,0.24,0.17,1.26,0.71,5.39,0.24,7.29,1.67,0.31,0.07,0.7,0.16,0,0.79,0.66,0.79,0.27,0.53
CD8B,31.63,23.44,10.94,7.91,8.65,4.12,1.06,5.61,2.11,2.16,2.54,0.07,0,0,1.94,1.48,2.17,4.1,3.38,0.75,0.38,0.78,3.45,1.81,0,1.66,3.07,4.43,0.98,2.37
CD8B2,0,0,0.06,1.55,0.07,0.1,0,0.07,0.36,0.41,0.55,0.02,0.01,0,1.32,1.19,0.08,0.88,0.25,0.04,0.02,1.71,0,0,0,0.13,0.26,0.77,0.07,0.18
CD9,278.84,251.06,260,267.3,257.53,128.02,209.3,332.24,1029.71,1123.25,1193.83,638.5,572.83,598.82,672.4,966.77,519.91,608.52,498.23,757.39,878.55,356.99,260.12,22.18,234.92,561.58,230.97,110.93,111.61,360.51
CD93,15.82,17.82,15.19,22.62,27.39,14.86,45.57,10.94,0,0,0,0,0,0,37.47,0.01,26.07,0.02,84.57,0.09,0,0,0,0,0,0.94,1.35,2.88,1.51,0.77
CD96,61.92,15.83,50.26,74.57,47.8,33.22,20.32,14.56,0.02,0,0,0,0,0,0.36,0.5,3,0,3.97,0.14,0.15,0,0.19,0.88,0,1.43,1.58,3.56,2.8,1.06
CD99,138.05,256.99,277.63,152.14,254.6,83.22,223.44,203.83,147.49,142.07,153.99,319.17,317.16,276.89,460.13,259.2,206.3,119.03,506.95,309.7,0.33,239.83,59.78,95.54,72.79,493.07,79.44,91.66,188.23,148.12
CD99L2,10.02,9.13,3.18,4.37,4.25,2.91,4.78,1.85,7.25,8.35,8.02,9.72,7.7,8,21.66,35.74,8.97,2.88,37.13,26.34,3.88,5.69,2.44,8.39,1.04,1.73,0.65,2.27,3.98,1.93
CDA,5.73,45.1,2.24,1.58,0.99,4.64,7.92,0.62,0.12,0.23,0.05,0,0.07,0,15.59,25.81,0.63,0.67,14.71,0.54,0,1.93,12.27,0,0.12,2.46,0.85,8.89,0.45,1.3
CDADC1,65.26,46.5,37.43,34.01,48.96,56.24,40.93,53.09,9.43,10.2,10.3,6.03,6.11,6.21,3.15,3.24,4.99,4.54,6.61,5.52,5.86,28.36,32.04,66.38,52.74,20.33,24.71,30.74,20.85,21.22
CDAN1,6,8.42,1.55,2.73,1.86,1.04,1.53,1.54,2.91,4.29,3.92,4.77,4.22,4.48,10.9,14.97,9.57,7.38,7.2,5.42,8.21,2.2,2.47,7.2,3.35,3.6,0.88,4.88,1.27,2.87
CDC123,541.14,413.83,549.22,605.91,226.07,537.8,344.99,471.73,182.72,230.73,241.35,164.37,170.06,170.5,106.12,88.67,153.45,171,79.52,85.47,451.35,175.35,356.03,143.54,331.17,639.79,553.44,368.79,407.89,687.82
CDC14A,38.98,32.65,22.04,41.85,43.32,22.94,22.91,18.48,1.59,4.11,3.68,2.54,3.4,2.97,3.79,8.85,6.18,5.89,14.78,14.55,5.71,15.93,8.68,37.43,81.55,5.26,11.39,11.71,2.63,12.95
CDC14B,8.73,5.89,2.33,17.27,15.23,14.98,16.08,26.33,4.37,9.6,9.68,4.93,6.74,6.15,8.37,8.05,4.21,4.52,8.69,12.15,1.72,8.77,5.07,23.35,41.44,0.42,2.08,4.89,22.12,24.96
CDC16,72.15,119.91,77.68,79.5,133.22,181.34,180.97,208.24,39.23,48.12,44.6,55.29,58.64,54.25,103.6,99.17,61.53,39.32,69.71,47.56,24.39,94.73,82.46,223.91,165.64,53.76,110.02,116.13,117.61,195.52
CDC20,29.92,540.53,33.82,89.42,15.99,160.81,25.61,64.8,116.23,142.97,144.85,112.63,104.13,101.54,91.78,114.02,266.56,361.71,54.66,105.71,122.98,20.9,375.96,58.35,103.2,55.15,31.81,194.98,33.47,50.76
CDC20B,0,0.32,1,0.09,38.87,0.3,0,0.15,0,0.03,0.01,0,0,0,0.08,0.03,0,0.02,0.03,0.08,0,1.43,0,0.74,0,0.19,0.46,0.28,0.62,0.19
CDC23,34.49,55.23,35.26,25.36,48.48,42.38,27.23,35.24,15.35,26.08,26.39,38.2,41.32,39.98,26.72,31.38,20.14,22.23,36.75,53.23,26.09,70,24.9,46.16,54.47,15.74,24.05,24.02,18.25,24.64
CDC25A,12.67,37.06,10.6,13.32,6.53,20.42,14.13,20.08,3.65,5.37,5.36,7.19,6.09,6.59,14.05,21.63,25.78,36.25,4.54,8.2,12.99,7.93,21.04,32.8,24.55,7.56,9.03,15.46,24.76,19.62
CDC25B,80.49,155.95,32.53,38.03,44.37,29.3,45.72,43.05,13.53,19.81,19.85,57.07,74.52,62.91,87.5,90.31,99.28,94.84,100.57,225.54,76.19,108.69,46.29,102.34,51.74,44.64,8.18,45.86,29.42,23.59
CDC25C,10.21,24,7.12,6.36,2.67,10.98,1.79,10.11,4.2,6.9,6.59,11.67,11.09,10.62,7.01,13.41,13.15,16.94,12.48,23.19,8.35,7.37,20.29,62.58,22.05,6.99,12.16,17.85,7.56,8.43
CDC26,261.55,393.94,392.02,506.5,643.63,846.59,495.6,771.85,133.47,126.59,130.24,67.55,68.71,73.04,42.56,30.9,43.48,36.69,39.32,47.67,33.74,324.53,706.87,122.21,505.21,72.61,122.35,164.72,311.84,297.3
CDC27,38.32,84.49,46.2,39.48,61.26,56.01,38.56,47.43,15.85,27.59,28.43,29.75,36.14,32.92,32,40.7,24.94,18.61,28.57,24.45,20.79,53.91,28.72,65.83,110.79,39.13,45.92,37.44,37.7,66.13
CDC34,96,41.98,28.34,18.66,20.3,12.67,22.2,31.41,67.02,66.47,62.65,156.24,125.93,138.72,92.33,145.03,163.97,93.43,60.08,74.52,122.64,28.76,24.16,59.72,9.04,20.36,7.89,13.07,27.32,14.02
CDC37,413.71,315.86,123.48,124.83,143.7,70.14,136.86,180.89,242.45,284.72,270.88,214.81,186.29,205.59,306.01,275.46,187.92,105.51,178.03,128.11,267.74,196.79,111.56,188.22,153.88,143.01,58.44,102.37,139.28,145.33
CDC37L1,14.24,16.92,15.82,9.94,27.53,19.09,20.08,23.93,17.1,20.79,22.29,12.09,14.52,14.85,11.58,10.68,9.91,7.6,8.04,10.03,4.8,13.15,27.78,7.82,13.66,12.24,16.6,20.58,17.88,32.52
CDC40,40.58,21.64,44.64,36.4,66.45,28.97,27.45,23.75,10.35,19.88,19,19.45,19.93,21.47,27.1,23.87,24.99,28.4,12.86,8.93,16.59,21.28,25.78,22.72,82.71,28.79,49.28,35.91,27.44,35.41
CDC42,171.11,252.52,394.67,482.43,539.66,283.83,234.4,284.74,89.05,112.2,117.87,366.52,403.8,367.55,237.91,220.99,253.93,259.52,332.53,316.7,151.56,237.92,356.67,154.56,170.67,205.87,104.17,202.07,128.94,165.04
CDC42BPA,9.15,78.33,96.88,23.62,50.55,112.49,118.61,47,6.05,12.19,11.44,13.6,19.79,14.85,48.52,68.6,35.07,32.45,27.89,20.8,0.04,43.01,88.52,159.2,25.56,85.23,64.14,71.87,83.31,85.41
CDC42BPB,51.53,106.93,85.73,66.15,126.71,43.51,58.79,52.7,6.79,12.3,12.3,27.3,28.72,28.82,43.92,40.07,79.87,63.33,91.64,83.58,20.42,96.01,67.26,52.75,188.98,80.76,31.89,47.5,38.12,86.3
CDC42BPG,11.47,2.93,2.16,0.95,7.57,1.97,6.73,1.12,25.56,32.79,35.55,55.14,51.62,50.71,20.98,33.52,26.67,27.24,30.9,36.35,42.58,18,1.34,3.15,5.16,5.12,2.27,6.51,7.23,2.67
CDC42EP1,49.65,32.57,12.02,10.43,11.56,7.32,8.54,23.19,71.38,84.27,81.16,111.88,103.81,119.42,220.6,231.85,256.84,261.29,149.8,135.46,353.2,38.15,24.22,1.79,24.44,11.53,3.16,8.5,26.19,19.65
CDC42EP2,69.82,9.01,2.29,7.6,5.44,8.67,3.37,4.8,7.68,6.28,8.25,12.89,9.46,10.57,7.06,2.68,9.38,4.29,24.25,14.5,61.97,12.43,1.23,14.26,5,2.28,2.33,8.3,2.65,4.63
CDC42EP3,7.56,34.71,8,8.42,21.04,6.73,10.44,8.4,4.73,7.06,7.29,15.95,16.13,14.82,13.81,7.9,15.84,15.16,21.86,24.99,2.76,21.83,8.97,23.83,20.84,0.77,2.25,4.7,4.73,13.11
CDC42EP4,7.61,8.01,0.88,1.85,2.01,3.1,5.58,11.04,37.57,51.82,53.17,86.97,67.96,81.39,106.64,191.96,145.98,151.4,69.64,76.07,83.48,7.57,2.13,2.34,1.87,1.18,2.18,2.58,3.5,9.13
CDC42EP5,4.82,1.06,0,0.06,0.25,0.09,0.08,0.41,0.75,1,0.66,58.62,53.6,50.96,150.33,122.77,38.1,18.14,50.5,5.4,48.98,0.26,0.87,0,0,0.12,0.12,0.72,0.82,0
CDC42SE1,55.74,145.85,98.34,88.49,95.4,96.2,145.91,90.68,65.69,93.18,100.38,122.68,157.08,121.85,158.64,168.75,123.18,101.79,129.15,85.49,46.39,108.2,29.53,41.29,53.19,101.08,60.7,73.77,173.25,112.29
CDC42SE2,31.89,20.48,25.01,28.66,38.25,35.19,18.45,25.12,13.18,21.33,22.15,30.8,33.73,33.88,18.31,13.43,28.98,35.68,52.86,49.53,14.82,32.06,7.77,69.09,26.98,8.35,11.85,19.58,5.47,12.72
