gene_id,PIM046_A3,PIM056_A3,PIM242,PIM014,PIM077,PIM137,PIM254,PIM040,PIM053,PIM091,PIM262,PIM068,PIM163,PIM010,PIM025,PIM164
AASS,1.92,0.82,12.16,0.9,,3.89,2.05,0.86,2.34,0.23,0.35,2.83,4.23,0.22,16.73,8.41
AATF,49.73,70.56,149.91,31.73,,107.09,238.41,49.46,75.88,166.14,129.78,114.63,91.93,39.63,36.17,214.1
AATK,1.26,2.47,0.26,0.06,,0.42,0.68,3.88,0.16,0.23,0,0.21,0,0.47,3.03,2.68
ABAT,2.03,1.88,1.75,0.54,,1.29,1.54,1.02,1.72,57.35,0.43,5.04,0.44,0.83,5.57,88.79
ABCA1,1.22,0.04,1.65,0.25,,2.27,13.6,0.94,2.36,26.3,10.26,4.01,1.05,10.31,0.93,1.25
ABCA10,0.01,0.11,1.77,0.02,,0.59,1.21,0.27,0.35,0.51,0.02,0.86,0.05,0,0.4,12.96
ABCA12,0.11,0.08,4.28,0.06,,3.36,4.62,6.53,26.46,424.14,10.77,7.7,1.14,0.07,0.07,5.43
ABCA13,0.01,0.01,38.06,0.37,,4.5,9.24,3.91,4.38,8.67,2.59,2.71,14.14,2.25,7.83,0.46
ABCA2,13.06,10.08,3.13,5.03,,1.8,2.52,19.2,2.76,43.12,2.52,3.41,0.93,16.78,34.71,27.32
ABCA3,23.32,62.54,11.15,23.36,,10.92,9.49,41.89,9.75,48,25.33,5.98,4.08,28.41,55.21,31
ABCA4,0.43,0,2.59,1.45,,3.25,27.92,0,0.15,2.3,1.53,3.44,0.03,2.73,2.18,0.18
ABCA5,3.25,8.76,10.08,1.03,,7.95,16.91,3.81,2.34,10.59,0.61,5.91,5.93,1.46,8.87,88.47
ABCA6,0,0,1,0,,1.17,1.69,0.19,0.35,0.52,0,1.06,0,0,0.16,12.28
ABCA7,2.48,9.61,5.66,9.8,,2.04,1.43,6.73,1.38,10.06,0.53,0.39,6.51,6.08,6.36,13.82
ABCA8,0.04,0,0.96,0,,2.21,0.92,0,0.36,0,0,0.8,0,0,0,0
ABCA9,0,0,0.72,0,,0.21,0.61,0.14,0.28,0.27,0,0.57,0,0,0.22,8.31
ABCB1,0.03,0.01,1.14,0,,2.11,0.87,0,0.64,0.05,0.12,1.27,0.11,0,0,295.85
ABCB10,23.46,19.64,72,29.09,,43.29,86.85,14.72,23.94,10.01,40.57,42.17,28.89,37.15,13.06,59.65
ABCB11,0,0,0.61,0,,2.21,0.51,0,0.61,0,0,1.15,0,0,0.04,0
ABCB4,0,0,1.84,0.29,,4.99,1.3,0,1.05,6.65,0.69,1.69,0.83,0.15,0.03,22.18
ABCB5,0,0,2.31,0.01,,3.96,1.48,0,1.58,0,0,2.05,0,0,0,0.27
ABCB6,22.87,13.82,25.28,11.14,,13.33,13.87,42.9,26.12,18.52,25.36,17.97,34.49,34.64,28.97,61.98
ABCB7,20.89,27.9,76.75,18.05,,60.68,35.06,17.34,46.31,90.53,75.33,49.41,71.61,23.18,26.05,140.48
ABCB8,13.25,20.73,1.33,18.99,,4.05,2.53,13.26,2.64,6.15,2.12,0.39,0.62,13.85,21.45,3.3
ABCB9,2.82,2.46,3.42,3.21,,1.94,3.19,9.2,5.17,9.27,0.37,1.4,2.5,25.49,10.61,1.76
ABCC1,10.47,7.36,17.28,1.12,,27.06,36.33,13.17,12.8,26.57,37.09,29.55,12.61,107.55,36.47,33.7
ABCC10,13.05,9.83,6.63,10.15,,9.84,8.26,11.77,7.25,10.28,8.96,3.16,2.2,25.41,18.21,33.61
ABCC11,0.06,0.06,1.63,1.86,,2.61,0.6,0.27,1.91,166.88,0.37,1.53,2.3,0.55,0.21,1.83
ABCC12,0,0,0.6,0.01,,1.62,0.57,0,0.21,23.35,0,1.72,0,0.04,0,0
ABCC2,0.08,0.68,7.73,0.26,,18.05,2.88,0.17,0.52,17.26,0.29,1.46,2.96,0.39,0.17,9.46
ABCC3,0.38,25.2,1.35,0,,1.88,5.04,2.8,11.19,17.03,38.19,1.21,0.21,2.53,1.1,7.39
ABCC4,6.13,5.79,1.44,7.77,,2.68,27.61,25.63,27.11,0.17,25.41,14.6,10.93,10.96,3.74,3.69
ABCC5,18.99,11.25,32.91,10.26,,39.14,38.94,12.21,3.38,4.98,12.61,25.19,17.44,40.19,33.25,72.41
ABCC6,1.99,0,0.66,0.15,,3.75,8.1,0.71,9.33,28.62,0,4.69,0.34,1.5,3.95,11.02
ABCC8,0.01,0,0.34,0,,0.44,0.21,0,0.08,0.02,0.02,0.33,0.02,0.19,4.17,78.23
ABCC9,0.51,0,0.34,0.01,,6.14,1.07,0.47,0.11,0,0.04,1.38,0,0.24,0.48,0
ABCD1,27.71,14.75,3.99,11.21,,1.19,2.4,21.46,1.52,5.17,0.24,0.69,0.45,38.15,33.25,1.27
ABCD2,0.12,0,0.49,0.02,,1.06,0.63,0,0.55,0,0,0.94,1.59,0.03,0.02,0.17
ABCD3,80.48,39.88,30.05,98.01,,57.27,38.8,17.72,27.99,62.53,117.95,24.22,86.6,29.85,52.89,153.53
ABCD4,7.88,11.99,2.38,5.74,,6.98,7.13,8.37,7.1,4.71,12.29,1.64,2.74,16.8,18.13,13.83
ABCE1,51.11,54.26,93.22,47.53,,143.58,105.25,51.01,115.31,103.55,319.15,116.1,97.02,33.17,75.21,88.96
ABCF1,25.88,88.06,24.41,79.69,,23.83,58.69,74.8,39.81,40.36,57.29,24.02,34.35,77.47,100.84,76.6
ABCF2,57.31,68.19,34.81,65.27,,62.46,60.93,59.28,20.75,45.4,62.01,9.06,16.44,59.96,79.85,45.11
ABCF3,63.17,43.26,44.95,30.91,,41.03,50.93,61.65,24.29,34.17,24.79,23.76,24.14,63.83,45.78,40.29
ABCG1,1.66,0.3,1.53,0.4,,3.22,0.9,19.75,1.33,15.87,0.27,1.81,0.07,4.96,11.56,2.23
ABCG2,0.13,0,0.71,1.81,,3.81,0.26,0,0.21,0.05,0.19,0.49,0,0.16,0.93,0.55
ABCG4,0.2,0.02,0.3,0.15,,1.44,1.02,0,0.25,0.08,0.03,0.55,0,0.05,0.38,0.54
ABCG5,0.03,0,1.09,0,,2.23,1.06,0.52,0.87,0.19,1.32,1.97,2.25,0,0.08,1.45
ABCG8,0.03,0,1.49,0,,1.46,0.62,0.75,0.59,0,0,1.03,0.11,0.14,0.29,1.26
ABHD1,0.38,0.22,1.19,0.91,,1.22,1.04,0.35,1.08,3.97,0.44,0.33,0.43,0.14,1.97,1.9
ABHD10,9.57,18.1,17.17,16.99,,18.14,18.67,28.52,17.71,35.04,37.66,10.32,23.18,11.38,16.15,52.96
ABHD11,57.26,55.61,82.92,176.91,,39.26,68.78,70.42,66.39,252.02,42.38,11.66,26.69,27.68,66.33,48.58
ABHD12,107.74,57.86,3.56,35.08,,18.84,60.39,71.15,67.83,54.98,65.06,7.42,13.07,43.62,41.58,28.92
ABHD12B,0,0,0.18,0,,0.2,0.18,0,0.13,1.8,0.07,0.38,0.35,0.06,0.21,0
ABHD13,9.81,11.41,23.01,5.48,,32.59,41.54,1.86,14.95,9.27,12.17,26.03,7,8.22,3.32,33.78
ABHD14A,14.88,8.48,3.64,19,,3.05,6.64,21.41,5.85,5.49,14.18,1.07,12.11,16.14,32.14,23.53
ABHD14A-ACY1,0.27,0,0,0.25,,0,0,0,0,0,0,0,0,0.7,0.45,0
ABHD14B,19.8,42.21,46.42,97.76,,15.62,29.27,27.33,34.61,42,22.42,9.23,25.83,8.5,44.56,28.25
ABHD15,4.3,10.97,2.52,10.08,,0.98,5.05,3.63,3.97,7.9,3.77,4.47,0.4,13.11,6.7,13.47
ABHD16A,43.31,58.18,13.16,26.59,,23.14,33.62,55.72,30.84,35.64,26.35,13.26,29.79,55.28,87.36,68.86
ABHD16B,0.02,0,0.8,0,,1.14,1.51,0,0.95,6.96,2.12,1.45,0.17,0.06,0,4.44
