gene_id,PIM046_A3,PIM056_A3,PIM242,PIM014,PIM077,PIM137,PIM254,PIM040,PIM053,PIM091,PIM262,PIM068,PIM163,PIM010,PIM025,PIM164
CDC40,19,21.47,27.44,28.4,,35.91,35.41,16.59,28.79,21.28,82.71,49.28,25.78,23.87,8.93,22.72
CDC42,117.87,367.55,128.94,259.52,,202.07,165.04,151.56,205.87,237.92,170.67,104.17,356.67,220.99,316.7,154.56
CDC42BPA,11.44,14.85,83.31,32.45,,71.87,85.41,0.04,85.23,43.01,25.56,64.14,88.52,68.6,20.8,159.2
CDC42BPB,12.3,28.82,38.12,63.33,,47.5,86.3,20.42,80.76,96.01,188.98,31.89,67.26,40.07,83.58,52.75
CDC42BPG,35.55,50.71,7.23,27.24,,6.51,2.67,42.58,5.12,18,5.16,2.27,1.34,33.52,36.35,3.15
CDC42EP1,81.16,119.42,26.19,261.29,,8.5,19.65,353.2,11.53,38.15,24.44,3.16,24.22,231.85,135.46,1.79
CDC42EP2,8.25,10.57,2.65,4.29,,8.3,4.63,61.97,2.28,12.43,5,2.33,1.23,2.68,14.5,14.26
CDC42EP3,7.29,14.82,4.73,15.16,,4.7,13.11,2.76,0.77,21.83,20.84,2.25,8.97,7.9,24.99,23.83
CDC42EP4,53.17,81.39,3.5,151.4,,2.58,9.13,83.48,1.18,7.57,1.87,2.18,2.13,191.96,76.07,2.34
CDC42EP5,0.66,50.96,0.82,18.14,,0.72,0,48.98,0.12,0.26,0,0.12,0.87,122.77,5.4,0
CDC42SE1,100.38,121.85,173.25,101.79,,73.77,112.29,46.39,101.08,108.2,53.19,60.7,29.53,168.75,85.49,41.29
CDC42SE2,22.15,33.88,5.47,35.68,,19.58,12.72,14.82,8.35,32.06,26.98,11.85,7.77,13.43,49.53,69.09
CDC45,24.75,29.05,18.81,25.42,,20.66,25.23,55.61,20.7,16.87,48.56,31.64,38.44,40.4,24.35,104.6
CDC5L,28.68,31.63,60.76,32.54,,91.88,98.2,23.3,64.96,53.73,165.93,72.76,117.3,52.67,44.09,144.63
CDC6,29.96,26.19,36.99,26.6,,27.58,47.91,26.49,25,25.08,114.96,24.93,26.12,25.99,20.72,99.95
CDC7,16.78,12.58,10.27,9.25,,17.64,25.83,16.18,10.61,13.93,75.86,9.18,22.09,13.75,25.75,98.9
CDC73,10.47,29.94,112.51,21.43,,49.25,108.96,10.77,70.04,32.74,130.78,60.91,76.69,21.75,23.62,60.36
CDCA2,7.89,16.43,39.39,13.08,,41.18,158.89,12.06,11.06,43.38,76.93,19.34,15.07,39.2,28.33,77.95
CDCA3,24.75,31.61,17.34,60.33,,46.17,45.29,25.01,35.44,13,39.64,23.91,38.33,29.38,29.21,48.07
CDCA4,27.92,38.8,8.58,86.43,,30.48,17.47,16.7,22.69,17.88,71.98,11.76,37.33,42.5,33.21,14.14
CDCA5,56.29,73.65,1.99,29.3,,6.5,3.56,51.58,2.22,5.36,8.37,1.27,8.7,29.03,38.5,15.86
CDCA7,27.32,46.04,49.78,68.93,,96.64,86.96,30.18,38.68,4.46,81.41,67.33,26.18,32.95,11.39,160.97
CDCA7L,21.74,63.2,115.16,120.32,,32.16,95.81,41.47,43.09,13.47,62.51,34.17,108.87,16.32,23.96,248.07
CDCA8,28.94,39.52,6.65,100.89,,42.07,10.09,31.03,9.44,8.77,17.46,8.05,8.65,43.05,36.88,29.85
CDCP1,9.04,30.82,90.38,132.51,,66.18,157.06,54.58,78.28,150.94,169.41,29.89,29.05,10.11,65.56,38.16
CDCP2,0.04,0,1.11,0.04,,9.32,4.89,0,0.31,0,0.05,1.95,0,0,0.06,0
CDH1,207.87,276.35,139.02,170.71,,195.28,295.68,274.94,326.6,807.51,416.24,201.99,44.75,373.87,528.88,83.17
CDH10,0,0,6.36,0,,10.28,1.27,0.04,2.96,782.34,0,3.27,0.1,0,0,78.57
CDH11,3.2,4.95,1.94,0.03,,3.02,1.25,0.12,0.37,0.29,16.22,3.29,0.01,55.09,5.48,0.09
CDH12,0.19,0,31.48,0,,56.32,9.71,2.73,18.51,25.08,4.62,28.83,1.79,0.88,1.94,418.62
CDH13,0.07,0.75,1.53,2.63,,4.47,0.77,0.03,1.08,8.25,1.19,2.32,0.1,0.39,4.17,2.08
CDH15,0.04,0.04,0.17,0,,0.19,0.09,0.53,0.16,0.14,0,0.4,0,0.43,2.68,0
CDH16,0,0.82,0.09,0,,0.94,0.34,0.09,0.12,0,0.04,0.1,0,0,0,11.92
CDH17,0.01,0,3.23,0,,3.99,1.19,0,1.09,0.24,0.03,2.67,0,0.61,0,120
CDH18,0.15,0,1.1,0,,7.13,0.67,0,0.82,2.27,0.04,1.1,0.22,0,0,1.23
CDH19,0.42,0.05,14.99,0.01,,2.97,1.95,5.42,0.82,0.07,1.56,1.55,6.87,7.91,21.54,0.03
CDH2,2.69,5.32,1.92,0.27,,9.55,5.27,0.06,2.26,0.6,7.52,8.67,1.88,1.84,0.97,616.82
CDH20,0.02,0,0.94,0,,2.32,0.5,0,0.89,0.13,0,1.89,0.4,0.07,0,0
CDH22,0,0.53,0.06,0,,0.77,0.15,1.65,0.1,0,0,0.24,0.02,0.1,0.22,6.89
CDH23,0.01,0.14,4.74,1.83,,4,3.15,0.25,2.23,5.03,2.76,2.43,0.2,17,10.2,35.14
CDH24,5.5,5.45,1.24,13.63,,1.99,1.43,13.72,1.39,3.19,1.73,0.69,0.96,6.48,12.02,12.51
CDH26,0.69,0.11,2.5,0.04,,1.93,0.87,0.3,1.63,5.49,0.91,0.93,0.12,0.24,0.8,1.19
CDH3,227.86,454.73,31.49,56.78,,70.02,121.88,31.3,93.13,24.24,93.41,25.69,8.84,346.25,272.06,2.12
CDH4,0.08,0,4.43,0,,1.19,0.47,0,0.15,0.02,0,0.95,0,4.29,58.06,0.12
CDH5,2.11,4.08,0.79,0,,2.04,0.64,0.33,3.77,0,0.21,0.46,0,19.03,12.5,0
CDH6,0.07,0,1.08,0,,4.85,0.26,0,0.19,0.03,0,1.19,0,0,0.01,0.46
CDH7,0.09,0,4.05,0.11,,6.47,1.06,0,3.92,0,0.03,5.1,0.62,0,0,4.71
CDH8,0.03,0,1.82,0,,2.45,0.86,0.6,1.17,0,0.02,3.15,0.14,0,0,16.15
CDH9,0,0,5.21,0,,11.67,1.42,0,2,0,0,5.19,0.03,0,0,46.4
CDHR1,0.04,0.13,6.4,0.05,,2.05,1.77,0,0.26,0,0.01,1.53,0.01,29.02,0.82,7.66
CDHR2,0.11,0.25,0.44,0,,0.93,1.12,0.03,0.09,0.1,0.05,0.65,0.89,0.11,0.08,29.56
CDHR3,0.28,0.14,0.81,0.16,,2.6,1.08,0.16,0.23,1.95,0.09,1.19,0.63,0.65,0.93,54.63
CDHR4,0.03,0,0.3,0,,0.45,0.1,0,0.02,0.12,0.04,0.18,0,0,0.18,0.31
CDHR5,0.03,0.2,0.18,0,,1.98,0.96,0,0.76,0,0.07,1.28,0.1,0.03,0.08,32.33
CDIP1,7.14,14.7,4.05,4.38,,3.91,2.7,4.72,0.92,16.1,1.7,4.26,6.45,42,36.83,11.81
CDIPT,81.57,94.83,18.11,47.56,,13.01,14.74,144.12,44.62,51.66,16.66,13.43,13.53,145.17,59.17,28.78
CDK1,101.42,206.42,32.49,106.14,,87.36,48.37,90.27,38.39,14.97,99.3,40.11,60.98,74.86,55.98,60.16
CDK10,38.59,51.85,20.99,42.64,,20.08,16.01,20.13,27.91,56.88,19.24,4.83,12.32,54.6,42.93,55.77
CDK11A,4.85,6.5,27.41,11.65,,39.65,70.59,8.62,44.71,26.98,38.7,19.54,165.11,7.41,12.01,61.01
CDK11B,10.65,35.88,42.61,35.86,,52.99,110.61,30.14,56.2,94.47,56.68,25.56,90.88,26.77,27.29,126.2
CDK12,10.18,15.93,66.34,25.39,,45.28,68.07,28.03,35.06,84.29,105.89,42.55,24.39,26.88,23.6,94.66
CDK13,21.23,30.42,38.29,26.25,,55.79,45.52,24.12,60.03,42.74,79.61,42.93,33.34,33.78,36.88,102.25
CDK14,3.15,4.98,11.53,17.7,,11.68,25.9,0.51,13.48,5.95,68.42,6.29,5.46,15.31,14,31.58
CDK15,0,0.15,0.33,0,,0.12,1.29,0.03,0.21,0,0,0.95,0.03,0.08,0,0
CDK16,57.25,102.43,113.05,83.54,,114.24,155.55,93.03,99.68,80.89,83.39,68.37,65.44,227.18,187.1,129.8
CDK17,6.31,12.02,19.45,3.56,,29.33,29.03,11.1,16.96,38.24,56.05,44.28,20.1,9.73,10.24,54.46
CDK18,5.22,10.02,14.45,67.46,,6.59,10.34,52.78,6.77,3.15,1.03,3.64,17.59,11.17,49.56,4.43
CDK19,16.71,17.34,17.54,23.72,,46.12,28.02,11.46,14.42,20.12,76.47,79.01,18.22,32.36,10.02,23.2
CDK2,50.68,41.45,27.79,70.63,,53.53,40.85,37.11,41.33,37.55,36.05,42.56,38.49,80.05,42.06,49.81
CDK20,9.14,5.03,7.37,7.9,,4.15,7.77,4.72,3.61,8.43,2.78,4.11,2.11,9.1,10.24,8.13
CDK2AP1,523.42,754.94,132.65,273.72,,149.65,163.46,233.63,245.38,83.11,175.62,151.3,172.85,1032.15,461.82,58.35
CDK2AP2,52.93,142.14,66.88,22.46,,98.71,47.64,151.62,384.48,155.44,80.46,50.48,10.87,36.11,137.74,72.74
CDK3,13.39,9.2,4.35,4.75,,1.12,1.79,9.19,0.39,3.75,2.7,0.77,1.76,9.61,13.15,3.67
CDK4,120.93,85.27,151.16,115.15,,49.87,162.64,62.39,110.73,74.65,83.67,159.12,43.7,305.7,94.62,197.44
CDK5,70.02,44.83,10.58,24.99,,11.19,22.77,33.3,22.46,18.41,14.39,1.38,10.51,17.9,26.81,27.34
CDK5R1,1.59,3.55,3.12,2.92,,2.27,8.45,2.39,2.83,2.34,9.3,11.34,3.85,4,2.06,32.22
CDK5R2,0,0.09,1.43,0,,1.77,2.41,2.3,1.52,0,0.08,3.23,0,1.37,0.04,85.31
CDK5RAP1,28.54,26.32,24.62,14.17,,27.47,33.83,29.43,31.92,75.1,52.1,21.14,28.91,11.87,19.95,98.03
CDK5RAP2,20.82,17.26,74.24,37.99,,82.13,182.94,33.26,82.19,54.34,229.23,36.56,92.94,34.96,27.27,95.08
CDK5RAP3,69.92,118.62,317.12,79.72,,131.2,353.24,63.32,235.66,282.63,129.22,151.82,168.34,168.58,88.21,382.06
CDK6,8.9,48.28,19.64,38.93,,15.24,15.43,25.21,10.92,14.89,73.71,107.05,27.08,32.87,48.69,1.9
CDK7,49.72,66.53,185.22,16.96,,188.19,133.87,10.09,92.16,361.25,220.95,89.71,305.88,16.69,17.35,103.73
CDK8,22.66,31.18,33.83,23.33,,40.5,48.23,22.56,31.23,43.95,94.39,34.1,134.33,16.22,12.58,40.49
CDK9,51.25,47.38,17.42,38.9,,9.51,7.65,30.36,12.9,25.62,7.89,4.1,17.77,33.91,32.29,20.67
CDKAL1,9.58,17.05,47.96,26.56,,18.92,51.76,10.93,16.81,14.93,65.03,34.57,25.97,111.77,17.88,215.74
CDKL1,1.53,0.46,6.6,10.4,,15.31,22.82,3.75,4.57,2.32,15.33,6.22,12.69,3.73,6.97,7.12
CDKL2,0.53,0,15.58,0,,5.22,6.85,0.07,0.91,7.24,1,3.64,0.16,0.02,1.13,16.86
CDKL3,1.64,0.63,3.97,1.36,,7.5,5.65,0.73,2.43,9.26,3.22,7.63,4.77,0.78,1.42,2.53
CDKL4,0,0.04,2.97,0.57,,2.26,2.8,0.45,2.08,0.83,1.1,4.23,0.44,0.63,0.51,2.36
CDKL5,1.49,3.14,33.33,7.3,,75.75,54.33,1.42,242.04,57.79,186.17,422.02,38.95,8.48,12.6,41.66
CDKN1A,17.81,41.77,18.96,11.23,,10.51,5.61,1.39,16.99,216.77,1.91,20.8,1.56,32.03,43.64,34.33
CDKN1B,27.03,36.35,58.99,121.75,,120.02,176.95,43.24,34,107.39,47.44,74.66,81.27,94.11,31.15,98.1
CDKN1C,1.69,14.84,3.6,4.59,,11.45,6.23,8.96,0.69,1.56,1.42,7.04,13.47,16.81,7.01,16.49
CDKN2A,20.64,189.75,5.64,308.8,,162.98,413.15,7.13,159.07,0.78,22.37,18.02,656.27,400.48,1.27,94.36
CDKN2AIP,10.79,10.11,15.65,9.16,,27.69,8.06,2.46,11.87,25.08,19.17,16.05,10.25,9.83,13.52,67.41
CDKN2AIPNL,15.45,33.18,14.21,16.68,,13.2,12.76,32.47,24.49,19.9,12.19,20.13,16.87,25.96,49.63,36.94
CDKN2B,7.1,30.24,0.43,5.88,,6.39,5.62,0.45,2.15,0,0.77,1.16,1.21,6.66,16.97,1.24
CDKN2C,78.3,33.61,9.07,58.7,,32.33,22.31,19.29,14.06,18.71,16.85,15.2,62.01,24.35,87.66,135.59
CDKN2D,61.42,22.33,4.35,16.67,,2.4,4.2,17.46,3.76,7.24,11.22,1.8,8.79,39.59,9.64,13.15
CDKN3,169.73,107.97,29.53,41.28,,49.95,33.74,40.48,25.34,21.74,154.77,25.1,273.27,35.26,57.07,68.37
CDNF,5.27,1.24,5.06,0.9,,5.16,9.61,12.51,1.72,6.01,3.34,8.54,1.02,2.36,3.09,6.39
CDO1,0.36,0,0.11,0.19,,1,0.16,0,0.11,0,0.73,0.32,34.76,0.09,49.07,0.27
CDON,4.01,4.65,3.05,2.01,,10.24,9.48,3.76,12.34,12.39,33.86,5.43,2.4,32.16,4.61,29.26
CDPF1,8.08,6.1,1.33,10.92,,0.39,3.79,21.87,0.57,0.22,0.5,1.13,10.59,16.18,10.47,1.83
CDR1,0,0,106.04,0.06,,77.9,1865.76,0,2937.52,15.56,41.47,1538.09,68.38,0.08,0,429.95
CDR2,24.89,41.11,34.06,25.15,,40.26,58.5,24.99,59.46,133.45,121.57,72.05,38.77,38.47,31.46,27.26
CDR2L,33.29,71.26,10.59,62.63,,9.31,9.98,36.36,23.41,21.19,23.49,4.04,18.59,19.55,29.92,37.41
CDRT1,0.36,2.35,6.79,0.27,,19.8,18.06,0.95,14.95,32.24,11.66,7.52,17.99,0.17,0.82,3.96
CDRT15,0,0,3.91,0,,6.9,5.59,0,6.11,1.21,0.39,1.24,0.18,0,0,7.41
CDRT15L2,0,0,1.75,0,,4.15,2.88,0,2.24,0.22,0,3.61,0,0,0,0
CDRT4,0,0,0,13.73,,1.46,0,0.73,0.07,0,0,0,0,0,0.8,0
CDS1,75.46,20.43,8.33,30.85,,13.08,19.26,18.55,7.87,33.88,23.55,5.59,9.72,14.79,15.87,2.49
CDS2,7.21,13.17,10.24,14.53,,8.61,12.78,28.69,14.01,21.13,20.92,7.57,6.32,12.31,40.62,23.27
CDSN,0.11,0.48,1.84,0,,15.45,30.72,0,2.39,15.37,0.9,2.64,4.6,0.11,3.42,0.41
CDT1,16.37,30.66,4.28,56.01,,9.78,4.97,38.57,4.97,5.5,7.21,1.52,4.07,60.3,36.42,13.35
CDV3,53.04,128.63,96.83,210.45,,104.39,193.23,116.42,24.06,65.12,135.84,131.79,69.4,212.4,89.87,104
CDX1,0.05,0,0,0,,0.33,0.44,0,0.05,0,0,0.31,0,0,0,0
CDX2,0,0.03,5.08,0.79,,5.02,2.93,0,1.22,0,0,10.76,3.24,0,0.52,33.4
CDX4,0,0,0.87,0,,4.17,3.36,0,0.76,0,0,1.1,0,0,0,0
CDY1,0,0,0.03,0,,0,0.03,0,0.03,0,0.02,0,0,0,0,0
CDY1B,0,0,0.03,0,,0,0.03,0,0.03,0,0.02,0,0,0,0,0
CDY2A,0,0,0,0,,0,0.03,0,0,0,0,0,0,0,0,0
CDY2B,0,0,0,0,,0,0.03,0,0,0,0,0,0,0,0,0
CDYL,45.9,36.71,70.69,28.38,,87.06,96.03,14.53,79.68,81.28,208.51,95.62,88.45,15.23,18.3,110.1
CDYL2,0.35,10.65,0.5,1.73,,1.12,0.58,0.08,1.47,6.23,0,0.67,0,1.05,2.11,0.76
CEACAM1,8.53,1.44,114.43,6.83,,62.31,33.69,90.51,475.72,41.01,509.75,54.8,7.86,57.77,39.89,48.91
CEACAM16,0,0,0,0,,1.71,0.77,0,0.76,0.19,0,0.76,0,0,0,0
CEACAM18,0,0,8.02,0,,13.07,6.52,0,1.33,0,0,7.07,0,0,0,0
CEACAM19,4.81,15.25,0.84,2.25,,6.91,3.98,1.07,2.73,12.85,0.55,1,0.84,4.9,1.8,3.3
CEACAM20,0,0,1.06,0,,5.16,1.42,0.08,0.91,0,0,1.31,0,0,0,0.11
CEACAM21,0,0,0.74,0,,1.03,1.36,0,0.24,0.4,0,1.9,0,0,0,0
CEACAM3,0,0,1.06,0,,7.32,1.6,0,0.36,1.4,0,2.35,0,0,0,0
CEACAM4,0,0,0.23,0,,0.75,0.46,0,0.28,0,0,0.97,0,0,0,0
CEACAM5,0.02,0.03,3.59,0,,11.19,2.5,0.07,475.71,1382.96,133.39,5.91,1.04,0.04,0,6.65
CEACAM6,0.17,0.05,52.99,2.83,,20.8,4.1,6.32,985.39,2084.37,281.42,14.08,2.87,0.15,0.13,1.7
CEACAM7,0,0,0.58,0,,1.06,0.21,0.1,7.35,15.07,0.34,0.53,0,0,0,0
CEACAM8,0,0,5.14,0,,6.72,2.52,0,0.82,0,0.09,5.05,0,0,0,0
CEBPA,3.25,1.01,1.99,0.21,,0.85,2.12,0.94,3.34,5.83,2.07,1.85,1.64,68.03,50.66,0.93
CEBPB,155.51,141.01,192.67,167.88,,141.04,378.19,132.08,73.35,100.07,100.72,143.98,456.01,546.7,368.82,14.37
CEBPD,31.91,148.31,3.59,80.62,,12.76,20.21,32.04,7.61,29.49,3.75,4.55,7.45,96.67,111.18,0.26
CEBPE,0,0,0.26,0,,2.46,1.82,0,0.46,0,0,0.72,0,0,0,1.35
CEBPG,70.39,48.59,87.3,26.81,,97.98,213.88,25.61,64.81,61.51,156.21,126.61,102.32,54.52,46.45,151.27
CEBPZ,48.51,56.04,82.72,45.48,,76.56,184.06,52.71,60.68,72.46,144.8,102.24,85.17,39.9,58.45,139.81
CEBPZOS,40.69,29.77,10.9,18.95,,7.84,13.86,29.87,6.01,11.63,15.35,9.8,16.86,29.18,48.95,19.44
CECR2,0.02,0,0.52,0.67,,3.19,0.63,0.07,0.11,4.21,0.02,0.97,0.64,4.05,0.36,12.7
CEL,1.03,0.65,1.11,3.89,,10.35,1.83,3.5,12.42,15.53,1.45,2.32,6.17,2.07,1.87,7.28
CELA1,0,0.07,1.21,0,,0,0.1,0,0.04,0.24,0,0.21,0,0,0,0
CELA2A,0,0,0,0,,0,0.11,0,0,0,0,0,0,0,0,0
CELA2B,0,0,0,0,,0.34,0,0,0.12,0.25,0,0,0,0,0,0
CELA3A,0,0,0,0,,0,0,0,0.04,0,0,0.11,0,0,0,0.58
CELA3B,0,0,0.14,0,,1.5,0.37,0.13,0.2,0,0,0,0,0,0,0
CELF1,29.81,32.81,26.86,41.09,,46.72,47.27,38.12,21.89,36.46,73.3,20.85,36.52,48.44,70.67,46.72
CELF2,0.12,0.23,9.89,47.02,,12.01,20.66,6.88,2.22,0.49,0.44,27.15,15.29,23.02,15.59,0
CELF3,0,0,1.97,0,,2.26,1.35,0,0.44,0.02,0.23,1.03,0.09,0.07,0.04,165.52
CELF4,1.23,0.15,0.46,2.67,,13.28,1.5,0,5.12,1.37,54.26,32.35,3.99,0.24,0.62,136.25
CELF5,1.27,0,1.31,0,,0.15,0.62,2.18,0.21,0,0.17,0.09,0.05,0.2,3.6,18.94
CELF6,0.66,0.33,1.39,0.08,,3.21,2.96,0.44,0.67,2.99,0.21,4.29,0.41,2.57,0.89,20.58
CELSR1,5.62,8.67,2.53,27.2,,4.54,12.22,3.46,11.19,15.06,18.38,2.56,8.12,27.9,23.2,1.47
CELSR2,7.7,12.33,7.46,30.79,,10.07,7,17,10.23,14.98,22.31,6.95,4.57,36.2,21.55,34.26
CELSR3,0.69,8.4,1.9,15.07,,2.15,3.09,3.5,2.23,5.37,2.33,1.2,5.16,1.28,1.46,36.96
CEMIP,0.14,3.53,0.65,0.04,,1.17,1.52,0.36,0.5,0.58,0.31,1.24,0.16,10.46,4.91,2.95
CEMP1,0.03,0.09,9.26,0.11,,7.35,6.52,0.09,12.47,30.93,4.23,2.9,14.77,0,0.61,12.08
CEND1,0.02,0.15,0,0.09,,2.12,0.69,0,0.31,0,0,1.13,0,1.35,0.35,18.46
CENPA,28.87,53.33,3.91,46.35,,7.12,8.2,17.3,7.52,3.34,11.04,4.34,11.45,23.11,15.49,20.89
CENPB,16.22,71.33,28.44,110,,25.39,18.74,192.5,29.96,52.11,18.45,7.91,29.22,114.11,215.44,37.57
CENPBD1,11.35,21.58,8.35,3.19,,9.75,9.42,12.25,5.77,25.63,13.3,3.21,27.74,12.15,24.46,20.49
CENPC,19.67,20.86,52.42,21.47,,78.99,53.18,11.46,31.15,55.93,69.27,66.63,93.26,11.5,8.88,60.3
CENPE,8.92,9.27,31.21,18.33,,105.35,46.09,6.69,30.56,22.7,94.32,58.13,50.97,9.49,13.84,56.74
CENPF,13.98,38.33,268.42,74.38,,254.9,356.42,26.7,120.24,38.24,417.54,173.98,261.81,100.16,31.61,308.22
CENPH,36.46,46.06,14.06,48.6,,13.88,10.1,8.11,10.22,11.2,18.9,4.98,13.48,30.17,13.29,14.85
CENPI,5.56,14,12.04,8.47,,26.63,10.84,4.61,12.21,15.7,28.04,12.39,17.15,11.65,9.9,28.1
CENPJ,8.31,8.5,50.24,13.04,,42.1,43.06,5.87,29.58,21.88,106.13,63.87,56.67,11.25,6.67,57.07
CENPK,14.15,29.96,7.5,14,,11.43,9.83,6.98,4.19,6.59,16.91,8.31,10.41,9.49,5.42,34.15
CENPL,14.78,15.54,17.11,25.17,,15.1,19.92,7.73,12.13,13.02,21.99,11.36,5,28.84,22.34,45.8
CENPM,25.02,17.35,23.12,19.78,,25.37,16.51,88.97,17.5,14.46,23.55,22.32,18.14,40.98,36.06,107.39
CENPN,40.35,120.27,59.6,24.16,,63.92,38.75,19.95,57.83,88.63,97.3,43.01,240.89,42.4,36.89,68.3
CENPO,7.92,12.84,10.63,23.69,,20.39,18.53,17.41,13.56,16.52,25.46,11.55,35.69,37.07,12.71,60.53
CENPP,5.39,3.06,20.48,4.88,,10.67,20.09,4.56,20.5,26.7,4.87,11.35,91.83,5.57,4.11,29.37
CENPQ,20.65,14.09,8.79,6.66,,18.05,22.03,5.08,13.22,8.4,23.1,18.39,27.75,10.58,14.06,24.82
CENPS,11.22,20.12,24.93,18.23,,16.43,23.5,10.75,12.93,57.44,31.11,10.29,70.4,5.08,13.6,77.2
CENPS-CORT,3.55,5.21,3.09,6.13,,7,5.13,3.85,5.08,7.1,6.2,2.08,31.14,4.32,6.9,27.68
CENPT,15.32,35.95,18.82,20.7,,42.42,34.39,29.37,22.94,43.03,51.42,12.23,29.88,50.52,38.02,59.11
CENPU,53.43,21.41,7.97,81.24,,38.98,24.82,20.85,33.14,32.41,40.32,28.88,34.25,18.82,40.28,46.52
CENPV,20.7,0.39,87.64,39.82,,64.63,33.65,18.91,207.42,15.55,154.72,46.8,206.79,70.42,12.49,218.37
CENPW,52.61,52.66,40.81,100.57,,129.09,46.63,25.08,33.73,12.75,46.15,73.01,1044.07,108.67,13.73,31.86
CENPX,119.49,252.04,35.59,101.99,,9.55,47.24,342.1,26.18,35.69,13.08,4.05,31.44,60.83,133.99,44.89
CEP104,2.76,12.08,12.7,12.56,,13.2,44.5,15.43,18.35,34.76,31.34,14.76,40.96,12.29,16.16,17.36
CEP112,2.05,3.88,31.9,3.19,,9.53,26.8,1.96,1.28,5.32,0.52,7.25,0.34,9.33,5.54,128.44
CEP120,2.06,8.22,14.99,3.81,,25.09,23.19,4.71,16.56,26.59,56.27,39.52,14.42,6.12,9.7,115.25
CEP126,1.03,0.31,3.14,0.33,,3.38,2.17,0.03,3.77,4.82,0.62,2.54,1.21,1.32,4.13,35
CEP128,3.48,4.22,17.1,3.88,,43.08,30.47,2.3,41.41,19.5,103.58,21.15,97.63,14.69,7.37,73.66
CEP131,5.95,16.71,10.83,8.41,,8.95,24.35,11.38,9.67,14.8,12.3,4.35,11.43,8.64,16.09,89.59
CEP135,3.16,7.77,5.53,3.7,,8.95,17.9,1.08,6.85,20.19,37.48,12.78,16.65,2.4,2.69,37.79
CEP152,3.25,3.99,16.03,7.72,,48.48,38.46,9.12,23.05,56.78,88.96,28.84,46,5.61,2.64,142.7
CEP162,5.14,2.99,9.27,6.68,,16.9,37.15,1.3,19.27,6.56,22.81,11.59,122.64,5.96,2.74,24.27
CEP164,6.81,10.88,10.01,6.59,,21.32,23.96,6.18,7.34,17.48,11.03,11.24,3.98,9.24,16.74,15.28
CEP170,18.37,23.38,191.19,14.36,,96.04,307.33,13.89,111.81,32.52,227.59,261.27,175.57,44.89,22.79,516.99
CEP170B,19.9,30.44,9.09,39.81,,19.53,6.73,27.43,20.95,32.26,18.82,3.93,11.26,43.05,110.08,7.91
CEP19,2.98,6.37,4.14,1.16,,3.46,1,0.33,0.98,1.98,1.12,6.94,2.84,5.54,5.35,6.47
CEP192,7.76,15.9,25.32,23.48,,65.89,109.3,28.74,51.98,35.92,242.84,63.5,55.55,23.32,36.49,155.49
CEP250,7.82,9.36,24.12,12.36,,23.03,19.42,14.24,12.35,22.88,55.34,11.92,23.86,12.23,16.22,72.27
CEP290,1.85,1.63,23.81,1.71,,29.76,39.6,2.62,21.58,24.48,69.98,25.97,29.59,2.52,3.67,88.98
CEP295,4.55,8.82,21.95,7.88,,40,53.87,29.02,20.63,15.06,87.33,28.16,14.65,10.21,16.62,57.65
CEP295NL,0.07,0.42,2.28,0.33,,2.09,9.52,0.17,1.06,1.48,5.86,3.9,2.32,2.05,1.23,9.53
CEP350,6.72,14.54,126.82,33.38,,51.16,128.59,11.57,61.01,91.78,118.28,59.77,108.85,68.93,22.87,193.7
CEP41,17.77,5.34,8.19,2.16,,8.89,7.52,12.56,2.64,8.48,25.72,6.3,7.9,5.14,7.39,23.81
CEP44,5.12,6.3,4.54,10.21,,8.91,3.21,2.57,6.28,6.42,5.4,11.27,5.66,4.98,9.15,19.39
CEP55,43.08,146.88,27.5,44.47,,47.3,34.23,19.76,25.6,13.49,85.52,33.92,52.96,42.99,29.22,34.35
CEP57,31.37,48.3,29.37,16.03,,52.82,53,79.05,37.63,18.69,141.99,60.08,52.75,23.17,36.54,55.94
CEP57L1,5.05,6.34,3.19,8.06,,7.06,11.98,7.29,6.82,4.37,20.71,8.1,1.95,10.12,3.33,9.38
CEP63,15.6,17.08,59.43,21.42,,69.35,45.68,13.86,10.79,81.33,128.79,51.06,97.18,19.07,21.73,140.77
CEP68,7.88,5.99,4.49,13.69,,7.16,4.93,5.44,5.21,9.29,9.09,7.09,4.67,10.26,9.07,9.71
CEP70,38.35,35.51,28.44,27.67,,52.93,38.19,12.83,24.89,20.18,57.23,20.18,49.9,23.06,40.52,40.99
CEP72,5.8,1.78,6.39,3.1,,6.85,8.58,13.85,4.83,8.26,8.01,4.32,5.44,28.16,18.41,26.99
CEP76,7.08,9.2,12.29,10.03,,34.98,36.19,7.42,18.36,13.71,144.2,32.06,51.52,6.18,7.6,85.49
CEP78,20.04,16.23,32.6,26.97,,15.75,44.87,6.77,12.99,18.78,72.27,28.82,21.07,20.03,33.54,63.1
CEP83,9.17,10.73,32.01,5.58,,68.15,45.96,8.45,33.33,34.3,82.63,50.02,56.71,7.46,8.39,101.53
CEP85,4.72,23.44,14.67,27.24,,17.24,22.31,15.15,10.2,22.34,21.89,8.16,11.29,17.96,27.58,65.73
CEP85L,0.55,1.05,3.52,1.36,,9.77,4.45,21.45,2.95,1.15,23.92,13.11,14.64,37.15,5.26,16.26
CEP89,14.24,13.94,43.29,7.46,,54.2,119.49,12.14,38.05,70.8,94.34,35.35,231.71,16.43,14.1,73.7
