Sample,Type,PIM046_A3,PIM056_A3,185_057_X0_P3,185_026_X0_P3,185_037_X0_P3,185_071_X0_P3,185_002_X0_P3,185_049_X0_P3,185_128_X0_P3,185_129_X0_P3
Trial_ID,Meta,185,185,185,185,185,185,185,185,185,185
Patient_ID,Meta,32,40,57,26,37,71,2,49,128,129
TimePoint,Meta,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre
Passage,Meta,P3,P3,P3,P3,P3,P3,P3,P3,P3,P3
Source,Meta,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX
Have_RNA_seq,Meta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PIM_ID,Meta,PIM046,PIM056,PIM077,PIM040,PIM053,PIM091,PIM010,PIM068,PIM163,PIM164
RCB_status,Meta,RCB-II,RCB-III,RCB-II,RCB-II,RCB-I,RCB-III,RCB-II,pCR,RCB-III,RCB-I
VB_Subtype,Meta,BL2,BL2,BL2,LAR,LAR,LAR,M,M,M,UNS
ANXA2R,Exp,19,112,22,2,466,100,126,90,276,185
ANXA3,Exp,18195,6816,86,171,5161,1770,257,2268,1553,341
ANXA4,Exp,5332,4909,547,378,13055,2902,1332,2185,2410,543
ANXA5,Exp,22192,10646,3055,2443,7786,3786,17004,5290,1682,1606
ANXA6,Exp,1850,1731,882,4595,4381,2986,3635,2518,2544,2558
ANXA7,Exp,2486,10887,1481,1286,23252,2309,2198,2965,1763,3087
ANXA8,Exp,63,13,90,3,43,12,13,1506,134,13
ANXA8L1,Exp,90,28,659,3,136,42,13,1480,647,98
ANXA9,Exp,11,0,8,5,609,1149,4,628,1897,964
AOAH,Exp,0,0,268,0,1259,1305,12,732,2872,2044
AOC1,Exp,0,0,0,1,109,224,33,103,1428,226
AOC2,Exp,26,33,23,45,321,239,83,185,757,420
AOC3,Exp,18,11,2,13,82,156,37,128,654,153
AOX1,Exp,12,15,9,2,1331,1403,280,2299,3931,2038
AP1AR,Exp,4589,1229,334,483,3067,1370,464,2449,1151,666
AP1B1,Exp,4717,3739,5136,6795,25996,1263,6684,1383,2292,2198
AP1G1,Exp,5947,9154,1636,3458,32186,8925,5593,10916,5926,6318
AP1G2,Exp,4995,2828,1188,2942,4744,647,1446,483,802,1630
AP1M1,Exp,2897,1573,1312,963,681,327,2072,260,1377,518
AP1M2,Exp,5643,5026,796,1909,4273,964,1614,168,1514,512
AP1S1,Exp,6432,5627,665,1029,182,162,1827,124,469,175
AP1S2,Exp,431,485,143,23,1874,288,176,734,540,629
AP1S3,Exp,604,686,348,233,1304,338,19,444,1004,529
AP2A1,Exp,3441,4004,3027,1748,3338,540,4189,560,1681,983
AP2A2,Exp,3240,1724,1280,1776,1947,349,3696,965,2431,1494
AP2B1,Exp,16772,14958,4792,2953,1198,4183,7188,5276,4496,5475
AP2M1,Exp,23705,9844,4955,6200,6744,1249,6989,3930,1288,2059
AP2S1,Exp,2620,3055,3324,1208,7890,752,1980,510,488,671
AP3B1,Exp,2660,3577,885,1403,12345,4906,1383,2994,3659,1791
AP3B2,Exp,100,57,32,15,452,2144,174,1072,1920,2901
AP3D1,Exp,4121,5857,5190,4249,23963,3502,5679,6523,471,10663
AP3M1,Exp,1231,4867,670,996,14263,1855,2336,4223,1696,3579
AP3M2,Exp,580,1631,795,358,566,1281,347,1161,4543,1355
AP3S1,Exp,1961,3108,644,357,3283,1567,924,1631,1136,672
AP3S2,Exp,5,11,10,11,107,49,14,14,226,73
AP4B1,Exp,824,605,114,403,2469,579,354,829,1248,1104
AP4E1,Exp,1087,718,447,286,5376,2072,514,1131,2994,1942
AP4M1,Exp,1274,582,421,407,1755,227,418,199,795,380
AP4S1,Exp,442,174,350,144,217,110,106,92,313,127
AP5B1,Exp,1919,1323,3962,1148,395,105,972,78,754,176
AP5M1,Exp,6201,2790,424,521,2212,366,687,466,632,474
AP5S1,Exp,97,308,124,469,509,99,187,76,463,153
AP5Z1,Exp,1205,1919,522,1046,1205,319,746,192,3347,1012
APAF1,Exp,288,865,380,513,4584,1928,1271,2331,2442,2293
APBA1,Exp,953,471,50,117,465,364,1099,691,1090,298
APBA2,Exp,11,0,558,3,319,214,839,314,1193,472
APBA3,Exp,563,694,380,368,489,123,461,144,873,285
APBB1,Exp,411,25,490,122,214,642,1551,195,1349,895
APBB1IP,Exp,0,1,2,0,693,690,17,354,1400,222
APBB2,Exp,439,815,160,130,2718,2532,694,480,1389,2237
APBB3,Exp,253,210,152,339,255,387,170,341,847,529
APC,Exp,894,1403,1268,996,14166,4622,1746,7054,4925,5825
APC2,Exp,4,17,5,23,100,160,72,102,692,429
APCDD1,Exp,2303,566,248,2680,6509,105,66,1490,786,225
APCDD1L,Exp,5177,0,163,1,134,187,340,156,788,255
APCS,Exp,0,0,0,0,175,247,0,158,706,405
APEH,Exp,4048,3258,1901,2298,4320,968,1252,364,1384,602
APELA,Exp,27,0,2,0,209,421,0,200,217,288
APEX1,Exp,10511,7179,7089,6285,27121,3365,1712,3873,1214,4135
APEX2,Exp,1093,1934,471,446,5188,1177,753,769,769,1385
APH1A,Exp,21378,7364,4737,5068,1548,528,6058,463,1190,596
APH1B,Exp,356,231,198,51,526,499,345,105,639,549
API5,Exp,6324,3711,2381,1507,12586,1757,1500,3400,3951,4296
APIP,Exp,1268,467,370,385,5509,226,307,439,780,387
APLF,Exp,658,512,66,13,2491,709,580,1227,1108,382
APLN,Exp,148,1028,261,0,966,132,4455,103,423,320
APLNR,Exp,0,0,13,0,56,120,1,101,597,183
APLP1,Exp,58,478,27,11,256,445,4828,173,2311,2683
APLP2,Exp,37124,20627,9366,11962,41757,18872,22049,14227,2497,2519
APMAP,Exp,7979,4414,4381,4033,8027,1338,2865,759,1073,1418
APOA1,Exp,17,1,7,3,48,89,2,57,252,73
APOA2,Exp,0,0,0,1,177,494,1,346,777,870
APOA4,Exp,0,0,0,0,51,58,0,47,242,70
APOA5,Exp,0,0,0,0,34,85,0,50,242,60
APOB,Exp,0,0,0,0,2864,5684,49,2795,10487,5156
APOBEC1,Exp,0,0,0,0,75,246,0,278,536,155
APOBEC2,Exp,0,0,0,1,212,82,0,113,436,464
APOBEC3A,Exp,0,0,0,0,0,1,0,6,54,3
APOBEC3A_B,Exp,0,0,0,0,0,0,0,0,0,0
APOBEC3B,Exp,896,1851,147,394,736,8,128,280,1478,150
APOBEC3C,Exp,0,6,438,289,67,154,196,95,385,96
APOBEC3D,Exp,0,0,4,143,55,91,9,116,766,174
APOBEC3F,Exp,119,39,106,359,104,260,559,257,880,231
APOBEC3G,Exp,1,1,23,9,53,274,13,106,784,168
