Sample,Type,PIM046_A3,PIM056_A3,185_057_X0_P3,185_026_X0_P3,185_037_X0_P3,185_071_X0_P3,185_002_X0_P3,185_049_X0_P3,185_128_X0_P3,185_129_X0_P3
Trial_ID,Meta,185,185,185,185,185,185,185,185,185,185
Patient_ID,Meta,32,40,57,26,37,71,2,49,128,129
TimePoint,Meta,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre
Passage,Meta,P3,P3,P3,P3,P3,P3,P3,P3,P3,P3
Source,Meta,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX
Have_RNA_seq,Meta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PIM_ID,Meta,PIM046,PIM056,PIM077,PIM040,PIM053,PIM091,PIM010,PIM068,PIM163,PIM164
RCB_status,Meta,RCB-II,RCB-III,RCB-II,RCB-II,RCB-I,RCB-III,RCB-II,pCR,RCB-III,RCB-I
VB_Subtype,Meta,BL2,BL2,BL2,LAR,LAR,LAR,M,M,M,UNS
BBX,Exp,1914,1033,2327,768,21042,2766,1724,5547,3636,3477
BCAM,Exp,904,1372,2084,676,662,1437,1409,606,2038,3603
BCAN,Exp,1,3,0,0,644,482,15,524,2669,1002
BCAP29,Exp,4682,3633,235,363,1982,1060,845,2168,1452,1172
BCAP31,Exp,25245,9058,2040,2696,4530,1482,5152,911,499,914
BCAR1,Exp,2869,4908,750,2358,944,415,7671,195,1704,516
BCAR3,Exp,810,2125,167,1745,1995,615,431,332,2043,1177
BCAS1,Exp,0,3,0,9,4556,2752,3,619,2235,1175
BCAS2,Exp,3662,3030,200,783,2601,592,523,839,798,1048
BCAS3,Exp,838,847,323,695,5312,2121,924,2240,3768,3180
BCAS4,Exp,132,221,437,8,135,205,1285,32,482,226
BCAT1,Exp,73,3,153,41,144,486,151,631,1071,1488
BCAT2,Exp,1289,982,1164,447,2480,320,577,353,916,580
BCCIP,Exp,4071,2755,305,1156,6823,841,724,2627,1451,1709
BCDIN3D,Exp,319,169,107,302,213,102,110,84,194,134
BCHE,Exp,59,0,1,75,355,515,4,491,813,356
BCKDHA,Exp,2291,1322,1745,687,4501,562,1757,430,982,354
BCKDHB,Exp,1594,880,328,802,3256,2272,832,2685,825,1236
BCKDK,Exp,2911,1721,2503,2942,1478,655,1109,426,983,621
BCL10,Exp,1996,1334,424,376,1281,165,394,170,880,317
BCL11A,Exp,118,320,1899,1021,7368,1466,2741,3133,5058,2822
BCL11B,Exp,1433,541,616,59,2788,1128,472,1533,2163,257
BCL2,Exp,193,280,59,70,170,127,1763,5073,770,228
BCL2A1,Exp,3,8,10,0,64,147,6,121,308,118
BCL2L1,Exp,7471,2883,805,702,4994,2250,842,672,942,1181
BCL2L10,Exp,31,49,82,56,121,33,43,1,123,51
BCL2L11,Exp,1228,650,881,935,4665,1427,1972,4034,2057,2466
BCL2L12,Exp,814,866,1070,377,1025,172,1268,314,427,169
BCL2L13,Exp,3450,2225,389,2414,339,232,2909,501,987,495
BCL2L14,Exp,52,2,132,141,62,212,2,1944,453,197
BCL2L15,Exp,7,9,1,6,125,81,4,57,326,103
BCL2L2,Exp,3183,1339,951,2528,933,127,563,188,189,342
BCL2L2-PABPN1,Exp,0,0,0,0,0,0,0,0,0,0
BCL3,Exp,763,1212,762,802,3188,939,692,172,1172,312
BCL6,Exp,4412,2236,1779,1014,12916,1319,4288,2473,1811,764
BCL6B,Exp,1,18,0,20,179,260,8,68,850,143
BCL7A,Exp,1142,398,1460,392,2700,476,1306,1386,887,1168
BCL7B,Exp,2298,1645,378,736,795,602,781,444,787,386
BCL7C,Exp,2871,2720,1766,942,2543,355,1732,464,1450,292
BCL9,Exp,1911,1864,1674,1675,10033,2225,2832,2843,3435,3551
BCL9L,Exp,14366,5348,2891,6062,12370,2243,7734,3449,1519,791
BCLAF1,Exp,5888,7951,3540,4772,34796,5076,7878,20104,11571,8178
BCLAF3,Exp,580,435,137,165,7481,1769,371,3939,1468,1222
BCO1,Exp,36,12,0,0,424,1160,6,259,1704,528
BCO2,Exp,75,74,20,38,488,284,34,519,774,451
BCOR,Exp,1973,1348,1531,1651,24711,1652,3852,1466,3227,9307
BCORL1,Exp,547,829,522,359,6595,1251,1154,1504,1578,3156
BCR,Exp,4406,1432,2116,3406,14067,777,4882,1529,3319,1895
BCS1L,Exp,1180,984,709,666,2382,183,912,945,529,459
BDH1,Exp,4755,453,1011,666,2078,308,352,690,958,454
BDH2,Exp,2298,249,247,77,2053,677,122,510,587,254
BDKRB1,Exp,1,2,1249,2,512,54,0,16,363,106
BDKRB2,Exp,10,22,1750,3,559,150,24,56,540,48
BDNF,Exp,4,0,245,0,570,390,0,577,1125,709
BDP1,Exp,1800,2609,1635,956,13997,7329,2077,4953,6243,4330
BEAN1,Exp,12,134,6,6,165,168,171,64,610,153
BECN1,Exp,5935,2924,1008,775,3229,783,948,828,895,881
BECN2,Exp,0,0,0,0,0,0,3,4,42,7
BEGAIN,Exp,18,39,71,7,112,87,769,33,628,71
BEND2,Exp,0,0,0,0,736,639,0,591,793,370
BEND3,Exp,423,464,878,1379,1409,201,1269,787,3872,467
BEND4,Exp,1,1,1,0,82,83,5,30,265,112
BEND5,Exp,9,1,345,69,129,204,138,282,1382,770
BEND6,Exp,72,174,16,0,239,163,106,237,884,223
BEND7,Exp,90,28,327,164,344,398,128,1004,1116,541
BEST1,Exp,22,15,9,15,241,624,33,468,1574,757
BEST2,Exp,1,0,0,0,163,272,6,120,833,268
BEST3,Exp,12,0,0,0,1188,725,1,541,1322,845
BEST4,Exp,168,16,165,27,160,69,27,68,373,104
BET1,Exp,1465,1155,121,323,2312,414,320,728,401,354
BET1L,Exp,2376,1252,1713,1212,575,135,3321,271,251,253
BEX1,Exp,1,8,154,0,48,77,14,77,136,7510
BEX2,Exp,927,15,164,45,58,237,325,996,284,3340
BEX3,Exp,3152,78,1736,191,294,179,1598,2601,182,1697
BEX4,Exp,882,168,100,144,1451,1021,477,1448,134,1096
BEX5,Exp,72,241,111,4,406,670,35,526,224,789
BFAR,Exp,4512,3570,1524,1072,3971,1290,2577,2605,1233,1506
BFSP1,Exp,158,197,48,39,3254,1173,151,1123,1593,1387
BFSP2,Exp,1,0,1,3,66,544,4,339,842,410
BGLAP,Exp,1,4,5,2,11,7,47,2,104,25
BGN,Exp,375,10671,1574,9,84,102,47160,2944,565,1615
BHLHA15,Exp,62,19,26,966,49,16,50,14,176,34
BHLHA9,Exp,0,1,0,0,0,7,0,0,63,5
BHLHB9,Exp,0,0,0,0,0,0,6,0,4,3
BHLHE22,Exp,0,1,1,38,2061,1201,79,558,459,587
BHLHE23,Exp,0,0,0,0,5,2,0,5,30,12
BHLHE40,Exp,3949,7904,2140,4066,9197,6198,1617,2269,2180,2217
BHLHE41,Exp,26,1431,13951,6,303,1188,2038,572,521,302
BHMG1,Exp,0,1,0,0,418,514,0,352,1265,505
BHMT,Exp,0,2,0,1,165,634,0,133,802,156
BHMT2,Exp,8,0,88,1,202,1241,38,346,768,379
BICC1,Exp,691,322,131,1,897,669,1381,1114,2068,1487
BICD1,Exp,196,703,1255,20,1101,556,1436,2296,1763,2275
BICD2,Exp,3802,2438,1116,827,2562,444,2232,941,1179,384
BICDL1,Exp,388,554,276,161,1131,1241,455,439,898,1635
BICDL2,Exp,1932,1501,51,486,1116,245,82,160,669,107
BICRA,Exp,439,707,954,413,2740,580,2209,879,1246,1107
BICRAL,Exp,1382,1259,482,1436,3304,1139,2157,2027,3583,2559
BID,Exp,974,2634,240,890,760,239,644,373,825,325
BIK,Exp,115,397,70,324,358,35,37,50,335,64
BIN1,Exp,56,334,53,264,2277,951,3069,218,1742,2558
BIN2,Exp,34,65,9,47,3558,591,74,443,1101,394
BIN3,Exp,659,539,327,245,118,243,285,91,599,278
BIRC2,Exp,8166,8258,366,1094,2039,351,1240,2188,636,567
BIRC3,Exp,746,4020,153,241,715,702,22,756,553,289
BIRC5,Exp,4106,5639,1186,1367,1344,125,2067,352,526,674
BIRC6,Exp,2960,4149,6021,4477,44978,12207,8097,24581,22375,26270
BIRC7,Exp,0,3,5,0,62,107,2,74,682,174
BIRC8,Exp,0,0,0,0,61,106,0,62,314,97
BIVM,Exp,583,550,82,68,1807,173,559,730,315,772
BIVM-ERCC5,Exp,0,0,0,0,0,0,0,0,0,0
BLCAP,Exp,3119,2283,2001,1363,4575,1723,596,1600,761,1944
BLID,Exp,0,0,0,0,49,18,76,90,36,17
BLK,Exp,0,0,0,0,67,225,0,51,1134,211
BLM,Exp,537,539,415,299,1856,1089,796,1095,2301,1576
BLMH,Exp,1747,55,880,323,484,1070,1251,1865,1579,2193
BLNK,Exp,472,108,266,11,4495,911,124,858,1437,398
BLOC1S1,Exp,1181,760,331,275,1198,196,288,302,293,312
BLOC1S2,Exp,3507,2193,389,107,2077,699,296,786,868,551
BLOC1S3,Exp,506,504,269,393,2358,202,667,526,912,431
BLOC1S4,Exp,778,554,174,81,1022,146,285,311,197,110
BLOC1S5,Exp,2274,1117,251,171,2133,502,154,868,1240,649
BLOC1S6,Exp,2381,2286,831,686,2907,230,915,650,737,887
BLVRA,Exp,1829,849,192,25,7456,788,730,325,1328,691
BLVRB,Exp,1253,3422,90,645,2924,1652,1038,302,521,218
BLZF1,Exp,1999,1792,495,472,5404,917,839,1435,1443,1119
BMF,Exp,1164,115,129,503,2017,201,3514,157,938,620
BMI1,Exp,49,37,36,69,228,27,98,33,129,43
BMP1,Exp,343,564,554,224,214,547,911,335,2303,842
BMP10,Exp,0,0,0,0,128,373,2,122,397,150
BMP15,Exp,0,0,0,0,143,136,1,57,238,135
BMP2,Exp,296,75,11,44,291,463,171,824,1118,597
BMP2K,Exp,1900,351,232,172,6295,2951,479,3902,3834,1774
BMP3,Exp,73,0,0,0,304,514,0,142,1092,157
BMP4,Exp,1889,1191,0,16,559,1027,1007,154,503,178
BMP5,Exp,3694,3,401,0,2183,189,0,436,1179,161
BMP6,Exp,125,34,3,2,251,211,34,219,926,224
BMP7,Exp,1611,1713,4319,1006,2401,501,8172,253,741,565
BMP8A,Exp,34,13,14,14,343,80,10,125,579,158
BMP8B,Exp,253,427,211,73,70,60,152,58,544,106
BMPER,Exp,1,10,5,0,2265,3601,7,1330,3606,3271
BMPR1A,Exp,1101,1530,2432,482,5444,680,2075,2875,1808,2229
BMPR1B,Exp,18,13,288,3,2446,879,405,610,1101,317
BMPR2,Exp,5893,6061,2769,2531,28027,3503,6798,17986,4522,5712
BMS1,Exp,3405,4500,3745,1473,60192,9770,2320,28274,18936,17217
BMT2,Exp,2315,1167,167,448,1748,518,290,837,1534,542
BMX,Exp,0,2,3,0,1374,1288,2,1156,1487,669
BNC1,Exp,41,570,3725,0,305,795,66,552,1272,646
BNC2,Exp,57,124,1,1,1745,1518,19,1296,2130,1559
BNIP1,Exp,844,885,107,242,463,375,120,252,706,230
BNIP2,Exp,3880,2528,782,1022,3855,1216,913,1380,1873,1000
BNIP3,Exp,5473,4437,1061,2328,3719,430,1287,985,1633,1305
BNIP3L,Exp,7739,4942,2550,954,6854,3232,1414,1365,602,3039
BNIPL,Exp,1108,17,38,127,1200,495,419,566,1671,592
BOC,Exp,2449,1750,1521,1409,1994,365,14126,700,2164,514
BOD1,Exp,6208,3487,779,967,2928,880,1083,3453,892,1502
BOD1L1,Exp,641,1358,939,1138,21627,4513,2320,9589,4267,10162
BOD1L2,Exp,0,0,0,0,45,40,0,23,257,14
BOK,Exp,1171,2334,380,1178,291,58,232,66,355,84
BOLA1,Exp,965,636,176,570,1375,182,270,281,609,264
BOLA2,Exp,0,0,0,0,0,0,0,0,0,0
BOLA2-SMG1P6,Exp,611,380,88,163,6357,955,102,4475,847,761
BOLA2B,Exp,0,0,0,0,0,0,0,0,0,0
BOLA3,Exp,1044,1061,633,799,2196,424,278,501,443,258
BOLL,Exp,0,0,0,0,653,347,0,571,1376,505
BOP1,Exp,3007,2253,2897,4912,9497,220,4627,426,271,271
BORA,Exp,722,685,251,70,2204,653,213,1157,1558,1348
BORCS5,Exp,277,426,769,470,80,154,1018,225,416,186
BORCS6,Exp,377,503,112,86,544,161,116,72,345,86
BORCS7,Exp,857,471,125,60,291,151,120,130,263,145
BORCS8,Exp,580,144,140,154,38,19,209,12,61,36
BORCS8-MEF2B,Exp,0,0,0,0,0,0,0,0,0,0
BPGM,Exp,4188,1413,235,185,1258,340,231,549,700,369
BPHL,Exp,3092,1223,605,285,1892,534,149,956,1075,1367
BPI,Exp,49,8,11,56,333,1047,63,419,1886,974
BPIFA1,Exp,0,0,0,0,213,1587,0,626,1494,1090
BPIFA2,Exp,0,0,0,1,147,302,0,140,652,290
BPIFA3,Exp,0,0,0,0,131,427,0,282,916,579
BPIFB1,Exp,0,1,1,36,359,5708,2,220,1238,471
BPIFB2,Exp,0,0,107,107,127,220,1,142,1284,423
BPIFB3,Exp,0,0,25,1058,252,609,0,262,1439,473
BPIFB4,Exp,0,0,39,301,314,583,9,253,1807,609
BPIFB6,Exp,0,0,0,0,193,472,0,238,1148,581
BPIFC,Exp,7,0,0,0,718,534,2,879,1926,1019
BPNT1,Exp,1867,1734,1065,1353,3361,481,951,852,1409,712
BPTF,Exp,5091,5365,2519,4262,67124,9456,8358,29034,12194,29014
BPY2,Exp,0,0,0,0,0,0,0,0,0,0
BPY2B,Exp,0,0,0,0,0,0,0,0,0,0
BPY2C,Exp,0,0,0,0,0,0,0,0,0,0
BRAF,Exp,799,399,781,462,2931,1151,1181,1322,2073,2691
BRAP,Exp,1322,603,837,252,6908,1333,1314,2194,1654,1736
BRAT1,Exp,1232,3476,810,1999,2411,529,1265,295,2719,1140
BRCA1,Exp,11,1568,459,0,4405,2154,568,2792,2801,3062
BRCA2,Exp,1290,962,288,900,7439,2038,840,8381,4265,1397
BRCC3,Exp,5215,1902,295,654,4369,1497,1094,1517,1059,2117
BRD1,Exp,2557,868,1303,2415,4618,678,3428,3052,2860,1296
BRD2,Exp,5913,8712,6058,4941,22244,4502,9048,7271,6259,10440
BRD3,Exp,2892,1640,1757,945,5757,1094,2588,1181,1927,1190
BRD4,Exp,3839,2131,3640,5027,13800,2288,11231,5830,3404,4661
BRD7,Exp,2879,6006,1167,1895,2425,2820,2487,6038,2790,3785
BRD8,Exp,1901,2194,976,1033,6747,4674,1249,7048,4058,6898
BRD9,Exp,1605,803,2212,1040,2060,655,2902,750,1561,1908
BRDT,Exp,0,0,0,0,344,350,1,281,2391,414
BRF1,Exp,1088,1062,1849,677,2488,494,1370,238,1820,341
BRF2,Exp,576,242,173,197,153,186,253,145,107,467
BRI3,Exp,4447,1835,569,1794,3091,194,1193,513,377,376
BRI3BP,Exp,136,347,466,323,1210,184,382,173,487,637
BRICD5,Exp,98,123,48,17,86,50,356,51,316,99
BRINP1,Exp,38,58,0,8,259,484,54,76,672,214
BRINP2,Exp,4,51,2,0,597,775,99,553,2092,1346
BRINP3,Exp,3,0,0,1,4784,341,11,328,2398,3515
BRIP1,Exp,851,618,504,358,3536,1719,1349,3214,3048,3369
BRIX1,Exp,2418,2265,1531,1246,2170,1006,989,1619,1886,883
BRK1,Exp,8732,4511,2114,3937,6998,2049,2040,3830,1012,990
BRMS1,Exp,3158,3388,2483,1190,5496,584,623,611,719,284
BRMS1L,Exp,1235,898,422,137,2279,519,742,629,1500,715
BROX,Exp,1953,3142,696,1370,5789,755,1680,2209,1841,950
BRPF1,Exp,895,637,886,2266,2618,821,1692,1639,2628,1673
BRPF3,Exp,799,1765,1905,2058,8681,1742,2726,3118,4685,4103
BRS3,Exp,0,0,0,0,375,244,0,129,372,544
BRSK1,Exp,965,121,5,33,256,294,743,180,1406,429
BRSK2,Exp,2,76,1,15,546,130,517,175,1651,1054
BRWD1,Exp,2781,4328,1577,2143,9377,6515,3792,16921,18477,4011
BRWD3,Exp,798,1854,853,622,16083,4764,1419,6899,4509,9031
BSCL2,Exp,2991,3736,889,991,4369,1224,1066,1262,848,1249
BSDC1,Exp,4562,3497,1415,1158,3204,753,2138,772,3123,857
BSG,Exp,19545,22701,9429,14868,9171,2142,9849,2358,1039,3556
BSN,Exp,5,1,127,14,536,581,245,255,4776,1916
BSND,Exp,15,0,0,0,45,56,13,46,260,118
BSPH1,Exp,0,0,0,0,446,535,2,405,647,481
BSPRY,Exp,12245,3122,192,2951,956,886,161,314,691,393
BST1,Exp,24,2,0,7,182,205,5,167,490,358
BST2,Exp,219,58,2135,148,4331,1107,6,61,337,125
BSX,Exp,0,0,0,0,46,22,0,51,223,55
BTAF1,Exp,1255,2355,4039,1285,14214,2106,2300,9297,5075,4561
BTBD1,Exp,4010,2692,1170,960,3101,1343,1799,2176,1706,1920
BTBD10,Exp,2190,1467,570,302,2544,1717,1151,1332,1425,1844
BTBD11,Exp,385,38,973,67,483,699,12,449,1367,475
BTBD16,Exp,5,1,52,15,459,278,5,226,1279,404
BTBD17,Exp,0,0,0,0,51,40,299,44,390,305
BTBD18,Exp,0,0,2,0,210,113,0,156,451,323
BTBD19,Exp,9,65,18,5,59,97,114,51,408,149
BTBD2,Exp,2864,3334,2461,1486,3708,680,1720,947,4,1429
BTBD3,Exp,706,2886,555,2527,29987,1157,1997,4116,3259,11304
BTBD6,Exp,2955,1771,1705,1091,4976,923,716,514,816,347
BTBD7,Exp,2424,1873,1139,759,7459,1331,1198,3443,4692,1712
BTBD8,Exp,22,10,6,35,468,339,21,313,2181,495
BTBD9,Exp,465,293,343,234,2450,1157,874,1002,2519,2203
BTC,Exp,1427,898,36,9,487,459,7,282,807,131
BTD,Exp,412,334,139,781,452,387,337,235,757,177
BTF3,Exp,18112,12200,7520,5179,20352,5593,4422,7205,2210,2018
BTF3L4,Exp,11188,4210,742,1423,6127,919,764,3251,1192,1231
BTG1,Exp,4031,3691,4447,1878,11951,2256,10826,11374,668,1112
BTG2,Exp,501,281,3164,1631,8102,841,2218,1634,1389,1644
BTG3,Exp,2055,2485,695,349,3176,1073,1458,4095,2859,819
BTG4,Exp,0,0,1,1,1021,763,1,831,750,518
BTK,Exp,51,22,7,3,406,621,1,314,756,832
BTLA,Exp,4,1,0,6,388,390,0,308,771,355
BTN1A1,Exp,0,0,0,0,182,183,1,210,899,460
BTN2A1,Exp,1552,1660,382,256,3452,656,850,1219,1832,1835
BTN2A2,Exp,1018,516,166,54,1951,526,250,436,1467,980
BTN3A1,Exp,129,646,343,222,3531,1072,343,665,1661,1468
BTN3A2,Exp,156,949,231,136,2928,1046,477,695,1855,1474
BTN3A3,Exp,103,148,121,37,1200,768,255,488,1531,814
BTNL10,Exp,3,2,0,0,95,39,0,61,336,114
BTNL2,Exp,1,0,0,0,263,323,0,242,1170,557
BTNL3,Exp,0,0,0,0,613,468,0,86,1198,654
BTNL8,Exp,0,0,1,2,205,368,0,277,1104,871
BTNL9,Exp,1,21,6,3,165,304,0,175,867,623
BTRC,Exp,659,1065,450,124,5018,1975,1202,2163,2070,1340
BUB1,Exp,1930,3333,1146,952,6803,2182,2169,3619,4238,4103
BUB1B,Exp,2013,1371,927,995,11034,830,1438,1895,3160,3765
BUB1B-PAK6,Exp,0,0,0,0,0,0,0,0,1,0
BUB3,Exp,4504,4933,42149,1773,9262,677,2516,3163,1470,1203
BUD13,Exp,3249,1127,448,742,3766,1394,552,1729,965,1040
BUD23,Exp,5254,3159,1182,1495,5397,2320,1983,2181,1168,1001
BUD31,Exp,10149,3591,742,987,2279,458,874,418,400,365
BVES,Exp,72,25,56,35,255,261,1439,437,3439,581
BYSL,Exp,1483,1519,911,1009,974,157,1612,364,723,414
BZW1,Exp,13247,11867,4052,3776,13563,1695,9694,6485,2306,1933
BZW2,Exp,4343,7490,1429,2801,29083,2497,2317,9250,3859,4695
C10orf10,Exp,896,4975,411,118,90,23,236,140,353,100
C10orf105,Exp,0,0,0,3,155,135,6,76,566,209
C10orf107,Exp,1198,0,0,0,303,130,258,196,521,282
C10orf111,Exp,27,12,9,13,30,17,0,28,133,4
C10orf113,Exp,3,0,5,10,206,188,14,182,458,119
C10orf120,Exp,0,0,0,0,94,84,0,82,358,101
C10orf126,Exp,0,0,0,0,157,142,0,103,560,120
C10orf128,Exp,0,0,0,0,57,68,0,92,319,135
C10orf142,Exp,0,0,0,0,0,5,0,5,9,10
C10orf25,Exp,53,13,93,34,55,49,52,138,150,275
C10orf35,Exp,289,967,173,124,181,53,153,59,229,94
C10orf53,Exp,1,0,0,0,94,56,0,107,432,188
C10orf55,Exp,3,86,17,0,3,0,4,2,5,6
C10orf62,Exp,0,0,0,0,48,14,0,23,215,39
C10orf67,Exp,1,0,0,0,223,324,0,231,590,89
C10orf71,Exp,0,0,1,0,372,277,0,361,1535,885
C10orf76,Exp,1106,1266,575,150,2947,1516,814,1316,2255,874
C10orf82,Exp,1,0,0,4,79,129,4,56,377,87
C10orf88,Exp,314,456,2532,140,1418,378,130,930,841,529
C10orf90,Exp,0,2,0,1094,494,552,417,523,1351,573
C10orf91,Exp,1,27,1,32,60,25,56,30,234,76
C10orf95,Exp,26,55,22,1,184,38,4,54,190,113
C10orf99,Exp,0,0,1,0,31,62,4,29,183,69
C11orf1,Exp,1772,309,144,420,1480,201,126,636,236,273
C11orf16,Exp,1,0,0,1,87,153,0,53,577,271
C11orf21,Exp,0,0,0,0,37,38,114,34,266,70
C11orf24,Exp,2546,1494,2011,1327,7320,868,1127,2541,521,734
C11orf40,Exp,0,0,0,0,276,392,0,317,737,514
C11orf42,Exp,0,0,0,0,55,97,0,34,296,122
C11orf44,Exp,0,0,0,0,30,158,0,64,131,62
C11orf45,Exp,344,276,66,40,29,15,25,39,93,33
C11orf49,Exp,1325,254,357,129,613,398,514,179,1060,587
C11orf52,Exp,3484,1088,16,249,525,224,17,268,220,143
C11orf53,Exp,0,0,0,3,135,116,0,125,221,134
C11orf54,Exp,1681,1957,152,1753,1841,357,335,753,438,502
C11orf57,Exp,5451,1746,601,1365,5384,493,698,2137,599,908
C11orf58,Exp,7785,4458,2263,1767,7019,2285,2117,3466,1275,1862
C11orf63,Exp,2,487,3,1,501,752,258,886,795,626
C11orf65,Exp,20,23,5,40,403,328,12,424,448,248
C11orf68,Exp,1653,1869,996,996,452,89,724,125,342,159
C11orf70,Exp,23,29,35,0,415,278,29,315,378,347
C11orf71,Exp,1282,428,96,573,1770,151,321,490,202,620
C11orf74,Exp,765,270,79,58,1590,541,117,241,795,502
C11orf80,Exp,4066,2065,896,898,7376,1323,373,1723,1600,1002
C11orf84,Exp,1299,1209,600,489,926,301,927,544,445,829
C11orf86,Exp,0,262,36,0,58,32,5,23,226,43
C11orf87,Exp,0,0,0,0,362,315,0,297,302,266
C11orf88,Exp,0,0,0,0,236,158,0,172,242,91
C11orf91,Exp,25,88,28,21,22,23,14,24,86,15
C11orf94,Exp,7,2,1,7,21,43,7,18,300,62
C11orf95,Exp,1478,2154,335,918,23,29,3962,35,150,85
C11orf96,Exp,150,4,14,0,8,10,79,9,163,25
C11orf97,Exp,1,0,0,0,117,133,0,108,177,53
C11orf98,Exp,8,3,8,1,12,15,1,8,79,22
C12orf10,Exp,1043,606,479,553,2543,439,267,554,678,920
C12orf29,Exp,1474,492,393,216,2239,599,223,1159,549,527
C12orf4,Exp,1241,714,1173,402,5526,926,831,2410,1316,1097
C12orf40,Exp,0,0,0,0,402,416,0,247,708,213
C12orf42,Exp,0,0,0,3,366,370,0,206,783,363
C12orf43,Exp,514,275,505,216,1258,364,548,328,747,489
C12orf45,Exp,503,321,350,161,4374,845,103,899,605,621
C12orf49,Exp,3755,1588,2179,2308,2000,328,3386,751,501,538
C12orf50,Exp,0,0,0,0,460,401,0,318,752,335
C12orf54,Exp,9,1,10,0,219,345,3,267,512,318
C12orf56,Exp,5,0,357,112,3492,1377,28,990,1901,1447
C12orf57,Exp,2553,2191,3388,1031,626,288,1554,551,405,479
C12orf60,Exp,36,60,18,7,18,62,39,129,121,72
C12orf65,Exp,640,197,323,169,555,79,287,226,265,184
C12orf66,Exp,244,211,628,333,666,195,229,266,427,190
C12orf71,Exp,0,0,1,0,17,76,0,113,229,41
C12orf73,Exp,493,198,211,137,997,154,111,575,257,435
C12orf74,Exp,0,0,2,0,63,79,0,23,168,49
C12orf75,Exp,712,23,853,1,386,218,463,481,422,826
C12orf76,Exp,237,157,98,42,387,185,208,438,362,274
C12orf77,Exp,0,0,1,0,19,133,0,128,269,96
C12orf80,Exp,5,0,0,0,47,107,0,59,236,143
C13orf42,Exp,0,0,3,0,3,3,0,0,6,4
C14orf105,Exp,0,0,0,0,126,143,0,84,418,140
C14orf119,Exp,5982,2216,909,1324,5053,661,503,1490,935,876
C14orf132,Exp,13,1,1257,9,209,23,658,11,166,53
C14orf159,Exp,577,14,170,612,1762,272,482,240,1719,403
C14orf166,Exp,13359,4752,1657,1117,4959,493,1258,1073,1103,627
C14orf177,Exp,0,0,0,0,41,88,0,31,191,55
C14orf178,Exp,3,2,1,0,36,23,7,31,340,31
C14orf180,Exp,0,0,0,0,106,98,0,27,743,50
C14orf2,Exp,3167,3095,1866,978,13955,1523,609,1636,809,720
C14orf28,Exp,752,202,10,39,873,188,62,148,416,219
C14orf37,Exp,110,31,7,16,244,392,224,260,993,282
C14orf39,Exp,1,0,2,0,1250,633,0,342,1461,582
C14orf80,Exp,905,727,883,693,438,134,403,34,1045,107
C14orf93,Exp,750,274,73,219,1017,157,118,262,517,480
C15orf32,Exp,0,0,0,0,53,90,0,38,276,67
C15orf38-AP3S2,Exp,0,0,0,0,0,0,0,0,0,0
C15orf39,Exp,994,966,1031,1092,2482,512,2440,663,945,934
C15orf40,Exp,573,261,377,170,467,360,246,437,420,285
C15orf41,Exp,203,1004,152,264,4071,410,299,516,985,1379
C15orf48,Exp,9,406,0,3,109,221,0,37,212,82
C15orf52,Exp,1653,3503,425,368,5564,226,654,288,875,248
C15orf53,Exp,0,0,0,0,73,48,0,32,179,67
C15orf56,Exp,16,13,4,4,106,18,20,32,260,68
C15orf59,Exp,1,5,2,24,62,65,200,53,391,160
C15orf61,Exp,466,248,215,205,611,97,316,656,237,379
C15orf62,Exp,382,53,5,29,343,75,55,108,555,197
C15orf65,Exp,123,56,15,22,460,135,10,90,190,119
C16orf45,Exp,162,1,15,6,168,612,12,260,936,653
C16orf46,Exp,88,616,62,44,634,385,73,116,520,110
C16orf47,Exp,1,0,1,0,148,240,1,173,422,271
C16orf52,Exp,892,694,176,160,664,246,333,459,362,221
C16orf54,Exp,0,0,1,5,34,44,5,28,323,117
C16orf58,Exp,4121,2535,951,3292,1095,454,4277,497,1128,493
C16orf59,Exp,374,360,629,205,171,146,464,95,798,262
C16orf62,Exp,1561,2026,1205,463,8296,2634,2005,1887,2998,2445
C16orf70,Exp,684,1750,417,547,3265,1090,978,963,1420,1147
C16orf71,Exp,11,37,6,6,234,173,20,125,734,206
C16orf72,Exp,5008,2984,1278,683,14765,1907,2757,5638,1425,2285
C16orf74,Exp,1252,1328,405,85,151,179,84,43,406,47
C16orf78,Exp,0,0,0,0,114,295,0,187,555,205
C16orf82,Exp,0,0,0,0,100,195,1,105,601,139
C16orf86,Exp,77,39,38,21,48,65,39,36,477,92
C16orf87,Exp,1032,916,204,216,2607,850,710,1598,968,717
C16orf89,Exp,0,2,428,1445,221,411,1,168,759,328
C16orf90,Exp,1,0,0,2,22,36,5,33,221,24
C16orf91,Exp,1006,848,507,134,1636,254,469,447,452,316
C16orf92,Exp,0,0,0,0,53,88,0,36,228,46
C16orf95,Exp,95,95,65,43,851,325,97,146,1026,118
C16orf96,Exp,2,3,0,3,271,445,41,242,1467,444
C16orf97,Exp,0,0,0,0,0,3,0,1,4,6
C17orf100,Exp,118,206,58,50,524,227,106,195,312,188
C17orf102,Exp,12,3,0,4,28,55,0,28,180,68
